List Name,Bestsellers Date,Published Date,Rank,Rank Last Week,Weeks on List,Asterisk,Dagger,Primary ISBN10,Primary ISBN13,Publisher,Description,Price,Title,Author,Contributor,Contributor Note,Book Image,Amazon Product URL,Age Group,Book Review Link,First Chapter Link,Sunday Review Link,Article Chapter Link
Manga,2011-12-17,2012-01-01,1,0,1,0,0,142153536X,9781421535364,VIZ Media,"From the publisher: ""Darkness covers the earth, and the world is under the control of evil."" Who will rise up to fight for good?",12.99,"NAOKI URASAWA'S 20TH CENTURY BOYS, VOL. 18",Naoki Urasawa,by Naoki Urasawa,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9781421535364.jpg,http://www.amazon.com/Naoki-Urasawas-20th-Century-Boys/dp/142153536X?tag=thenewyorktim-20,,,,,
Manga,2011-12-17,2012-01-01,2,0,2,0,0,1421540495,9781421540498,VIZ Media,"Naruto, who wants to be a great ninja, must confront his inner demons at the Waterfall of Truth.",9.99,"NARUTO, VOL. 53",Masashi Kishimoto,by Masashi Kishimoto,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9781421540498.jpg,http://www.amazon.com/Naruto-Vol-53-The-Birth/dp/1421540495?tag=thenewyorktim-20,,,,,
Manga,2011-12-17,2012-01-01,3,0,1,0,0,1935654314,9781935654315,Vertical,A young princess named Sapphire must pretend to be male in order to inherit the throne. By the godfather of manga.,13.95,"PRINCESS KNIGHT, VOL. 2",Osamu Tezuka,by Osamu Tezuka,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9781935654315.jpg,http://www.amazon.com/Princess-Knight-Part-Osamu-Tezuka/dp/1935654314?tag=thenewyorktim-20,,,,,
Manga,2011-12-17,2012-01-01,4,0,1,0,0,075952971X,9780759529717,Yen Press,"Isn’t being a kid hard enough? For this group, who are also part bird, nothing comes easy.",12.99,"MAXIMUM RIDE MANGA, VOL. 5",James Patterson,by James Patterson,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9780759529717.jpg,http://www.amazon.com/Maximum-Ride-The-Manga-Vol/dp/075952971X?tag=thenewyorktim-20,,,,,
Manga,2011-12-17,2012-01-01,5,0,1,0,0,0316188352,9780316188357,Yen Press,The adventures of this after-school music club continue. In this volume: membership drive!,11.99,"K-ON!, VOL. 4",Kakifly,by Kakifly,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9780316188357.jpg,http://www.amazon.com/K-ON-Vol-4-kakifly/dp/0316188352?tag=thenewyorktim-20,,,,,
Manga,2011-12-17,2012-01-01,6,0,1,0,0,0316123854,9780316123853,Yen Press,"This small town is filled with intrigue and murder. Rena has done a lot to protect her father, and her friends want to help, but don't know how.",11.99,"HIGURASHI WHEN THEY CRY, VOL. 16",Karin Ryukishi07,by Karin Ryukishi07,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9780316123853.jpg,http://www.amazon.com/Higurashi-When-They-Cry-Atonement/dp/0316123854?tag=thenewyorktim-20,,,,,
Manga,2011-12-17,2012-01-01,7,0,1,0,0,1935934066,9781935934066,Seven Seas Entertainment,Cheerleaders who are vampires. Give me a B.L.O.O.D.S.U.C.K.E.R.S!,10.99,"VAMPIRE CHEERLEADERS, VOL. 2",Adam Arnold and others,by Adam Arnold and others,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9781935934066.jpg,http://www.amazon.com/Vampire-Cheerleaders-Vol-Adam-Arnold/dp/1935934066?tag=thenewyorktim-20,,,,,
Manga,2011-12-17,2012-01-01,8,0,1,0,0,1421539829,9781421539829,VIZ Media,This series is about Arata and his cross-dressing adventures in a world where humans and gods live side by side.,9.99,"ARATA: THE LEGEND, VOL. 8",Yuu Watase,by Yuu Watase,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9781421539829.jpg,http://www.amazon.com/Arata-The-Legend-Vol-8/dp/1421539829?tag=thenewyorktim-20,,,,,
Manga,2011-12-17,2012-01-01,9,0,1,0,0,1935934104,9781935934103,Seven Seas Entertainment,"Another odd couple: Misaki, a young vampire who hates her nature, and her companion Kurose, whose investigations into the paranormal constantly endanger him. Will she turn him to protect him?",11.99,"BLOOD ALONE, VOL. 5",Masayuki Takano,by Masayuki Takano,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9781935934103.jpg,http://www.amazon.com/Blood-Alone-Vol-Masayuki-Takano/dp/1935934104?tag=thenewyorktim-20,,,,,
Manga,2011-12-17,2012-01-01,10,0,1,0,0,142153214X,9781421532141,VIZ Media,"Akitsu Masanosuke is a samurai without a lord. Will he run into more trouble when he becomes the bodyguard of the leader of the mysterious ""Five Leaves"" gang?",12.99,"HOUSE OF FIVE LEAVES, VOL. 5",Natsume Ono,by Natsume Ono,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9781421532141.jpg,http://www.amazon.com/House-Five-Leaves-Vol-5/dp/142153214X?tag=thenewyorktim-20,,,,,
