List Name,Bestsellers Date,Published Date,Rank,Rank Last Week,Weeks on List,Asterisk,Dagger,Primary ISBN10,Primary ISBN13,Publisher,Description,Price,Title,Author,Contributor,Contributor Note,Book Image,Amazon Product URL,Age Group,Book Review Link,First Chapter Link,Sunday Review Link,Article Chapter Link
Manga,2015-02-28,2015-03-15,1,0,1,0,0,1421578794,9781421578798,VIZ Media,The beginning of the globe–spanning and multigenerational exploits of the Joestar family are translated into English for the first time.,0,"JOJO'S BIZARRE ADVENTURES: PHANTOM BLOOD, VOL. 1",Hirohiko Araki,by Hirohiko Araki,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9781421578798.jpeg,http://www.amazon.com/JoJos-Bizarre-Adventure-1-Phantom-Blood/dp/1421578794?tag=thenewyorktim-20,,,,,
Manga,2015-02-28,2015-03-15,2,0,1,0,0,0316334847,9780316334846,Yen Press,"Issei Hyodo’s first date with Yuma Amano does not end well. Instead of a goodnight kiss, she kills him! But his death is only the beginning, when he is reincarnated as a devil.",0,"HIGH SCHOOL DXD, VOL. 4","Hiroji Mishima, Ichiei Ishibumi and Zero Miyama","by Hiroji Mishima, Ichiei Ishibumi and Zero Miyama",,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9780316334846.jpeg,http://www.amazon.com/High-School-DxD-Vol-4/dp/0316334847?tag=thenewyorktim-20,,,,,
Manga,2015-02-28,2015-03-15,3,0,6,0,0,0316259462,9780316259460,Yen Press,"Tatsumi hopes to earn money for his village by working in the Capital, but that won’t be easy in a place where corruption is rampant and a league of assassins are the only good guys.",0,"AKAME GA KILL!, VOL. 1",Takahiro and Tetsuya Tashiro,by Takahiro and Tetsuya Tashiro,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9780316259460.jpeg,http://www.amazon.com/Akame-ga-KILL-Vol-1/dp/0316259462?tag=thenewyorktim-20,,,,,
Manga,2015-02-28,2015-03-15,4,0,87,0,0,1612620248,9781612620244,Kodansha Comics,Is this the end of humanity? It sure looks that way when what is left of mankind must go into hiding to escape the giant humanoids known as the Titans.,0,"ATTACK ON TITAN, VOL. 1",Hajime Isayama,by Hajime Isayama,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9781612620244.jpg,http://www.amazon.com/Attack-Titan-1-Hajime-Isayama/dp/1612620248?tag=thenewyorktim-20,,,,,
Manga,2015-02-28,2015-03-15,5,0,1,0,0,0316240362,9780316240369,Yen Press,"Only four sinners remain, but will any of them be able to make it out of the courthouse alive?",0,"JUDGE, VOL. 6",Yoshiki Tonogai,by Yoshiki Tonogai,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9780316240369.jpeg,http://www.amazon.com/JUDGE-Vol-6-Yoshiki-Tonogai/dp/0316240362?tag=thenewyorktim-20,,,,,
Manga,2015-02-28,2015-03-15,6,0,6,0,0,0316259403,9780316259408,Yen Press,Are werewolves and witches to blame for a series of gruesome deaths in Germany? Earl Ciel Phantomhive and his demon butler Sebastian investigate.,0,"BLACK BUTLER, VOL. 19",Yana Toboso,by Yana Toboso,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9780316259408.jpeg,http://www.amazon.com/Black-Butler-Vol-Yana-Toboso/dp/0316259403?tag=thenewyorktim-20,,,,,
Manga,2015-02-28,2015-03-15,7,0,2,0,0,1421564157,9781421564159,VIZ Media,A middle–school student is framed for the murder of his classmates and then sentenced to a prison that doubles as a demented theme park.,0,"DEADMAN WONDERLAND, VOL. 7",Jinsei Kataoka and Kazuma Kondou,by Jinsei Kataoka and Kazuma Kondou,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9781421564159.jpeg,http://www.amazon.com/Deadman-Wonderland-Vol-Jinsei-Kataoka/dp/1421564157?tag=thenewyorktim-20,,,,,
Manga,2015-02-28,2015-03-15,8,0,2,0,0,162692113X,9781626921139,Seven Seas Entertainment,"Ash Blake attends the Ansarivan Dragonar Academy, where each student rides their own dragon. But Ash’s dragon, Eco, is different and can transform into a human girl.",0,"DRAGONAR ACADEMY, VOL. 5",Shiki Mizuchi,by Shiki Mizuchi,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9781626921139.jpg,http://www.amazon.com/Dragonar-Academy-Vol-Shiki-Mizuchi/dp/162692113X?tag=thenewyorktim-20,,,,,
Manga,2015-02-28,2015-03-15,9,0,12,0,0,1616554126,9781616554125,Dark Horse,"Follow the virtual (and musical) adventures of Hatsune Miku and her friends in this collected edition of stories, in black and white and color.",0,UNOFFICIAL HATSUNE MIX,KEI,by KEI,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9781616554125.jpeg,http://www.amazon.com/Unofficial-Hatsune-Mix-Miku/dp/1616554126?tag=thenewyorktim-20,,,,,
Manga,2015-02-28,2015-03-15,10,0,4,0,0,1421576082,9781421576084,VIZ Media,"The students of class 3–E have only one assignment: kill the teacher! Of course, when that teacher is also a supremely powerful being, it is easier said than done.",0,"ASSASSINATION CLASSROOM, VOL. 2",Yusei Matsui,by Yusei Matsui,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9781421576084.jpeg,http://www.amazon.com/Assassination-Classroom-Vol-Yusei-Matsui/dp/1421576082?tag=thenewyorktim-20,,,,,
