Rank,Rank Last Week,Weeks on List,Asterisk,Dagger,Primary ISBN10,Primary ISBN13,Publisher,Description,Price,Title,Author,Contributor,Contributor Note,Book Image,Amazon Product URL,Age Group,Book Review Link,First Chapter Link,Sunday Review Link,Article Chapter Link
1,2,7,0,0,1421534746,9781421534749,VIZ Media,"The origins and true nature of Pain, Naruto’s arch nemesis, are revealed.",9.99,"NARUTO, VOL. 48",Masashi Kishimoto,by Masashi Kishimoto,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9781421534749.jpg,http://www.amazon.com/Naruto-Vol-48-Cheering-Village/dp/1421534746?tag=thenewyorktim-20,,,,,,14215347469781421534749
2,1,2,0,0,1421535653,9781421535654,VIZ Media,"Haruhi, a poor girl at a rich school, is forced to work – as a boy – for the school’s all-male club. The series is described as a “romantic comedy.”",9.99,"OURAN HIGH SCHOOL HOST CLUB, VOL. 14",Bisco Hatori,by Bisco Hatori,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9781421535654.jpg,http://www.amazon.com/Ouran-High-School-Host-Club/dp/1421535653?tag=thenewyorktim-20,,,,,,14215356539781421535654
3,5,7,0,0,1421535696,9781421535692,VIZ Media,The battle for Cross Academy continues as Headmaster Cross enters the fray.,9.99,"VAMPIRE KNIGHT, VOL. 10",Matsuri Hino,by Matsuri Hino,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9781421535692.jpg,http://www.amazon.com/Vampire-Knight-Vol-Matsuri-Hino/dp/1421535696?tag=thenewyorktim-20,,,,,,14215356969781421535692
4,6,9,0,0,0316084255,9780316084253,Yen Press,Sebastian is a loyal butler who moves easily from dinner parties to the underworld. Is he too good to be true? Is he even human?,10.99,"BLACK BUTLER, VOL. 2",Yana Toboso,by Yana Toboso,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9780316084253.jpg,http://www.amazon.com/Black-Butler-Vol-Yana-Toboso/dp/0316084255?tag=thenewyorktim-20,,,,,,03160842559780316084253
5,0,1,0,0,1421536293,9781421536293,VIZ Media,"The Black Lagoon, a WWII torpedo boat, is home to a group of mercenaries. This is their story.",12.99,"BLACK LAGOON, VOL. 9",Rei Hiroe,by Rei Hiroe,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9781421536293.jpg,http://www.amazon.com/Black-Lagoon-Vol-Rei-Hiroe/dp/1421536293?tag=thenewyorktim-20,,,,,,14215362939781421536293
6,4,2,0,0,0345518551,9780345518552,Del Rey,"Aang, the last of the airbenders, returns to unify his world and its elemental factions.",8.99,THE LAST AIRBENDER (9780345518552),"Dave Roman, Joon Choi and Alison Wilgus","by Dave Roman, Joon Choi and Alison Wilgus",,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9780345518552.jpg,http://www.amazon.com/The-Last-Airbender-Dave-Roman/dp/0345518551?tag=thenewyorktim-20,,,,,,03455185519780345518552
7,8,20,0,0,0316080845,9780316080842,Yen Press,Sebastian is a loyal butler who moves easily from dinner parties to the underworld. Is he too good to be true? Is he even human?,10.99,"BLACK BUTLER, VOL. 1",Yana Toboso,by Yana Toboso,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9780316080842.jpg,http://www.amazon.com/Black-Butler-Vol-Yana-Toboso/dp/0316080845?tag=thenewyorktim-20,,,,,,03160808459780316080842
8,0,1,0,0,1421530007,9781421530000,VIZ Media,"Kagome, a modern-day high school girl, is pulled into Japan’s ancient past, where she is linked to a dog-eared half demon named Inuyasha. In this volume: the demon learns more about his blade.",9.99,"INUYASHA, VOL. 50",Rumiko Takahashi,by Rumiko Takahashi,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9781421530000.jpg,http://www.amazon.com/InuYasha-Vol-50-Rumiko-Takahashi/dp/1421530007?tag=thenewyorktim-20,,,,,,14215300079781421530000
9,0,1,0,0,0759530645,9780759530645,Yen Press,"Maka, an arms expert, wants to turn the Soul Eater, her living scythe, into the ultimate weapon for Death.",10.99,"SOUL EATER, VOL. 3",Atsushi Ohkubo,by Atsushi Ohkubo,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9780759530645.jpg,http://www.amazon.com/Soul-Eater-Vol-Atsushi-Ohkubo/dp/0759530645?tag=thenewyorktim-20,,,,,,07595306459780759530645
10,3,2,0,0,1421534703,9781421534701,VIZ Media,"Monkey D. Luffy and his motley crew of would-be pirates for a legendary treasure called “One Piece.” In this volume, Luffy tries to rescue his brother from Naval prison.",9.99,"ONE PIECE, VOL. 54",Eiichiro Oda,by Eiichiro Oda,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9781421534701.jpg,http://www.amazon.com/One-Piece-Vol-Eiichiro-Oda/dp/1421534703?tag=thenewyorktim-20,,,,,,14215347039781421534701
