Rank,Rank Last Week,Weeks on List,Asterisk,Dagger,Primary ISBN10,Primary ISBN13,Publisher,Description,Price,Title,Author,Contributor,Contributor Note,Book Image,Amazon Product URL,Age Group,Book Review Link,First Chapter Link,Sunday Review Link,Article Chapter Link
1,1,2,0,0,1421534975,9781421534978,VIZ Media,"Naruto, ninja in training, learns more about his destiny and the fate of his universe.",9.99,"NARUTO, VOL. 50",Masashi Kishimoto,by Masashi Kishimoto,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9781421534978.jpg,http://www.amazon.com/Naruto-Vol-50-Water-Prison/dp/1421534975?tag=thenewyorktim-20,,,,,,14215349759781421534978
2,2,2,0,0,1421533111,9781421533117,VIZ Media,"Misao Harada can see the magic hidden in the world, but it turns out to be a a power that demons wants to exploit. Will her childhood friend, Kyo, who is the head of a demon clan, help or hurt her?",9.99,"BLACK BIRD, VOL. 7",Kanoko Sakurakoji,by Kanoko Sakurakoji,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9781421533117.jpg,http://www.amazon.com/Black-Bird-Vol-Kanoko-Sakurakouji-ebook/dp/B00F3HJIKS?tag=thenewyorktim-20,,,,,,14215331119781421533117
3,5,3,0,0,031608428X,9780316084284,Yen Press,Sebastian is a loyal butler who moves easily from dinner parties to the underworld. Is he too good to be true? Is he even human? In this volume: butler vs. butler!,11.99,"BLACK BUTLER, VOL. 4",Yana Toboso,by Yana Toboso,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9780316084284.jpg,http://www.amazon.com/Black-Butler-Vol-Yana-Toboso/dp/031608428X?tag=thenewyorktim-20,,,,,,031608428X9780316084284
4,3,2,0,0,1421535157,9781421535159,VIZ Media,This series is about grade-school boys who want to become professionals in the manga industry. Do they have what it takes?,9.99,"BAKUMAN, VOL. 3",Tsugumi Ohba and Takeshi Obata,by Tsugumi Ohba and Takeshi Obata,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9781421535159.jpg,http://www.amazon.com/Bakuman-Vol-3-Tsugumi-Ohba/dp/1421535157?tag=thenewyorktim-20,,,,,,14215351579781421535159
5,6,4,0,0,1421538121,9781421538129,VIZ Media,Two brothers harmed in a ritual that was half magic/half science seek the legendary Philosopher’s Stone to make things right. This installment sees an uprising in Central City and the return of King Bradley.,9.99,"FULLMETAL ALCHEMIST, VOL. 24",Hiromu Arakawa,by Hiromu Arakawa,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9781421538129.jpg,http://www.amazon.com/Fullmetal-Alchemist-Vol-Hiromu-Arakawa/dp/1421538121?tag=thenewyorktim-20,,,,,,14215381219781421538129
6,4,7,0,0,1427818878,9781427818874,TOKYOPOP,"From the publisher: ""Get ready to brush up on world history with these handsome and hysterical personifications of the Axis Powers as they meet, become friends and form one of the most powerful alliances the world has ever seen."" In this volume . . . Christmas!",10.99,"HETALIA AXIS POWERS, VOL. 2",Hidekaz Himaruya,by Hidekaz Himaruya,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9781427818874.jpg,http://www.amazon.com/Hetalia-Axis-Powers-Vol-2/dp/1427818878?tag=thenewyorktim-20,,,,,,14278188789781427818874
7,10,2,0,0,1421539195,9781421539195,VIZ Media,"15-year-old Allen Walker roams the earth searching for ""Innocence,"" the material used to create weapons that can destroy demons that this fictional version of 19th century England.",9.99,"D. GRAY-MAN, VOL. 20",Katsura Hoshino,by Katsura Hoshino,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9781421539195.jpg,http://www.amazon.com/D-Gray-Man-Vol-Katsura-Hoshino/dp/1421539195?tag=thenewyorktim-20,,,,,,14215391959781421539195
8,8,10,0,0,1421537907,9781421537900,VIZ Media,"Cross Academy has day and evening students, but the latter have a secret: they are vampires.",9.99,"VAMPIRE KNIGHT, VOL. 11",Matsuri Hino,by Matsuri Hino,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9781421537900.jpg,http://www.amazon.com/Vampire-Knight-Vol-Matsuri-Hino/dp/1421537907?tag=thenewyorktim-20,,,,,,14215379079781421537900
9,9,20,0,0,1427818762,9781427818768,TOKYOPOP,"From the publisher: ""Get ready to brush up on world history with these handsome and hysterical personifications of the Axis Powers as they meet, become friends and form one of the most powerful alliances the world has ever seen.""",10.99,"HETALIA AXIS POWERS, VOL. 1",Hidekaz Himaruya,by Hidekaz Himaruya,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9781427818768.jpg,,,,,,,14278187629781427818768
10,0,1,0,0,1421538504,9781421538501,VIZ Media,"Monkey D. Luffy and his motley crew of would-be pirates search for a legendary treasure called ""One Piece."" In this volume, Luffy must hustle to prevent the execution of Ace, his brother Ace.",9.99,"ONE PIECE, VOL. 56",Eiichiro Oda,by Eiichiro Oda,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9781421538501.jpg,http://www.amazon.com/One-Piece-Vol-Eiichiro-Oda/dp/1421538504?tag=thenewyorktim-20,,,,,,14215385049781421538501
