Rank,Rank Last Week,Weeks on List,Asterisk,Dagger,Primary ISBN10,Primary ISBN13,Publisher,Description,Price,Title,Author,Contributor,Contributor Note,Book Image,Amazon Product URL,Age Group,Book Review Link,First Chapter Link,Sunday Review Link,Article Chapter Link
1,0,1,0,0,0345510305,9780345510303,Random House Publishing Group,"Negi Springfield, the boy wizard, needs to take his skills to the next level. Will Rakan, an old friend and rival of his father’s, be able to help?",0,NEGIMA! 22,Ken Akamatsu,by Ken Akamatsu,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9780345510303.jpg,http://www.amazon.com/Negima-Magister-Negi-Magi-Vol/dp/0345510305?tag=thenewyorktim-20,,,,,,
2,2,2,0,0,1439576149,9781439576144,Viz Media,Two brothers harmed in a ritual that was half magic/half science seek the legendary Philosopher’s Stone to make things right. But others seek the weapon of alchemy for their own nefarious means.,9.99,FULLMETAL ALCHEMIST 18,Hiromu Arakawa,by Hiromu Arakawa,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9781439576144.jpeg,http://www.amazon.com/Fullmetal-Alchemist-18-Hiromu-Arakawa/dp/1439576149?tag=thenewyorktim-20,,,,,,
3,3,9,0,0,1421531348,9781421531342,Viz Media,The secret history of Sasuke''s family continues to be revealed.,7.95,"NARUTO, VOL. 44",Masashi Kishimoto,by Masashi Kishimoto,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9781421531342.jpg,http://www.amazon.com/Naruto-Vol-44-Senjutsu-Heir/dp/1421531348?tag=thenewyorktim-20,,,,,,
4,4,11,0,0,1421529297,9781421529295,VIZ Media,"Naruto’s former teammate, Sasuke, learns vital details about his family’s past.",7.95,"NARUTO, VOL. 43",Masashi Kishimoto,by Masashi Kishimoto,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9781421529295.jpg,http://www.amazon.com/Naruto-Vol-43-The-Truth/dp/1421529297?tag=thenewyorktim-20,,,,,,
5,0,1,0,0,0345508092,9780345508096,Random House Publishing Group,"After 20 volumes, readers of this series must know what this means: “Fai’s secret past is revealed in horrific detail, and all his lies laid bare.”",0,TSUBASA 21 (RESERVOIR CHRONICLE),Clamp,by  Clamp,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9780345508096.jpg,http://www.amazon.com/Tsubasa-Reservoir-Chronicle-Vol-21/dp/0345508092?tag=thenewyorktim-20,,,,,,
6,5,10,0,0,1421528436,9781421528434,VIZ Media,Naruto’s teacher Jiraiya must delve deep into the past to uncover the secret of Pain’s origin.,7.95,"NARUTO, VOL. 42",Masashi Kishimoto,by Masashi Kishimoto,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9781421528434.jpg,http://www.amazon.com/Naruto-Vol-42-Secret-Mangekyo/dp/1421528436?tag=thenewyorktim-20,,,,,,
7,6,14,0,0,142152841X,9781421528410,VIZ Media,A journey to the Land of Rain unveils a secret.,7.95,"Naruto, Vol. 40",Masashi Kishimoto,by Masashi Kishimoto,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9781421528410.jpg,http://www.amazon.com/Naruto-Vol-40-The-Ultimate/dp/142152841X?tag=thenewyorktim-20,,,,,,
8,7,13,0,0,2923563190,9782923563190,VIZ Media,"A secret from the past comes back to haunt Naruto’s teacher, Jiraiya.",7.95,"Naruto, Vol. 41",Masashi Kishimoto,by Masashi Kishimoto,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9782923563190.jpg,http://www.amazon.com/classification-d?tag=thenewyorktim-20,,,,,,
9,9,11,0,0,292154864X,9782921548649,TokyoPop,This series is about humans who are possessed by the animals of the Chinese zodiac.,10.99,"FRUIT BASKETS, Vol. 22",Natsuki Takaya,by Natsuki Takaya,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9782921548649.jpg,http://www.amazon.com/Mise-jour-Classification-D?tag=thenewyorktim-20,,,,,,
10,0,8,0,0,2923563190,9782923563190,VIZ Media,"The continuing adventures of the Naruto Uzumaki, young ninja in training.",7.95,"Naruto, Vol. 38",Masashi Kishimoto,by Masashi Kishimoto,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9782923563190.jpg,http://www.amazon.com/classification-d?tag=thenewyorktim-20,,,,,,
