Rank,Rank Last Week,Weeks on List,Asterisk,Dagger,Primary ISBN10,Primary ISBN13,Publisher,Description,Price,Title,Author,Contributor,Contributor Note,Book Image,Amazon Product URL,Age Group,Book Review Link,First Chapter Link,Sunday Review Link,Article Chapter Link
1,0,2,0,0,1421551381,9781421551388,VIZ Media,"Ichigo Kurosaki sees dead people and must help usher them safely into the afterlife. In this volume, Ichigo regains his powers and learns a startling truth about himself.",9.99,"BLEACH, VOL. 54",Tite Kubo,by Tite Kubo,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9781421551388.jpg,http://www.amazon.com/Bleach-Vol-54-Tite-Kubo/dp/1421551381?tag=thenewyorktim-20,,,,,,14215513819781421551388
2,0,1,0,0,1421543257,9781421543253,VIZ Media,Was a group called the Seven Moons responsible for the death of Ritsuka’s brother?,9.99,"LOVELESS, VOL. 10",Yun Kouga,by Yun Kouga,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9781421543253.jpg,http://www.amazon.com/Loveless-Vol-10-Yun-Kouga/dp/1421543257?tag=thenewyorktim-20,,,,,,14215432579781421543253
3,0,5,0,0,0759529728,9780759529724,Yen Press,"Isn’t being a kid hard enough? For this group, who are also part bird, nothing comes easy.",12.99,"MAXIMUM RIDE, VOL. 6",James Patterson,by James Patterson,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9780759529724.jpg,http://www.amazon.com/Maximum-Ride-The-Manga-Vol/dp/0759529728?tag=thenewyorktim-20,,,,,,07595297289780759529724
4,0,3,0,0,0316228958,9780316228954,Yen Press,"Staz is a vampire obsessed with Japanese culture. When a young Japanese girl he befriends suddenly dies, Staz vows to restore her, especially since it will give him a chance to walk among humans.",18.99,"BLOOD LAD, VOL. 1",Yuuki Kodama,by Yuuki Kodama,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9780316228954.jpg,http://www.amazon.com/Blood-Lad-Vol-Yuuki-Kodama/dp/0316228958?tag=thenewyorktim-20,,,,,,03162289589780316228954
5,0,1,0,0,1937867099,9781937867096,Seven Seas Entertainment,"Two female high school students, Mariko Kumakura and Akko Oohashi, have become a couple. Will they take it public?",17.99,"GIRL FRIENDS: THE COMPLETE COLLECTION, VOL. 2",Morinaga Milk,by Morinaga Milk,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9781937867096.jpg,http://www.amazon.com/Girl-Friends-The-Complete-Collection/dp/1937867099?tag=thenewyorktim-20,,,,,,19378670999781937867096
6,0,1,0,0,1937867072,9781937867072,Seven Seas Entertainment,"A social agency in Italy is taking in young girl and turning them into assassins. Meet their latest: Henrietta, who comes equipped with cybernetic technology.",17.99,"GUNSLINGER GIRL, OMNIBUS VOL. 6",Yu Aida,by Yu Aida,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9781937867072.jpg,http://www.amazon.com/Gunslinger-Girl-Omnibus-Yu-Aida/dp/1937867072?tag=thenewyorktim-20,,,,,,19378670729781937867072
7,0,10,0,0,1421549425,9781421549422,VIZ Media,Naruto and his allies battle an army of undead ninjas and an unexpected resurrection throws them all for a loop.,9.99,"NARUTO, VOL. 59",Masashi Kishimoto,by Masashi Kishimoto,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9781421549422.jpg,http://www.amazon.com/Naruto-Vol-59-Five-Kage/dp/1421549425?tag=thenewyorktim-20,,,,,,14215494259781421549422
8,0,4,0,0,0316229202,9780316229203,Yen Press,"This is not your typical wonderland: Peter is a man with rabbit ears and Elliott March, the Mad Hatter’s enforcer, is a mafia hitman. How will Alice survive?",11.99,"ALICE IN THE COUNTRY OF HEARTS: MY FANATIC RABBIT, VOL. 1",Quinrose,by Quinrose,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9780316229203.jpg,http://www.amazon.com/Alice-Country-Hearts-Fanatic-Rabbit/dp/0316229202?tag=thenewyorktim-20,,,,,,03162292029780316229203
9,0,1,0,0,1421549913,9781421549910,VIZ Media,"Ritsuka is heartbroken over his brother’s death, but will the insight that Soubi, a mysterious, handsome college student, has make things any better?",14.99,"LOVELESS: 2-IN-1, VOL. 2",Yun Kouga,by Yun Kouga,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9781421549910.jpg,http://www.amazon.com/Loveless-2-1-Vol-Includes/dp/1421549913?tag=thenewyorktim-20,,,,,,14215499139781421549910
10,0,5,0,0,0316217166,9780316217163,Yen Press,Are the magical dreams of Madoka Kaname suddenly becoming a reality?,11.99,"PUELLA MAGI MADOKA MAGICA, VOL. 3",Magica Quartet,by Magica Quartet,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9780316217163.jpg,http://www.amazon.com/Puella-Magi-Madoka-Magica-Vol/dp/0316217166?tag=thenewyorktim-20,,,,,,03162171669780316217163
