List Name,Bestsellers Date,Published Date,Rank,Rank Last Week,Weeks on List,Asterisk,Dagger,Primary ISBN10,Primary ISBN13,Publisher,Description,Price,Title,Author,Contributor,Contributor Note,Book Image,Amazon Product URL,Age Group,Book Review Link,First Chapter Link,Sunday Review Link,Article Chapter Link
Manga,2015-02-14,2015-03-01,1,0,1,0,0,1421578352,9781421578354,VIZ Media,"The popular apocalyptic series, which follows a group of teenagers who pilot giant robots, continues.",0,"NEON GENESIS EVANGELION, VOL. 14",Yoshiyuki Sadamoto,by Yoshiyuki Sadamoto,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9781421578354.jpeg,http://www.amazon.com/Neon-Genesis-Evangelion-Vol-14/dp/1421578352?tag=thenewyorktim-20,,,,,
Manga,2015-02-14,2015-03-01,2,0,2,0,0,1421576082,9781421576084,VIZ Media,"The students of class 3–E have only one assignment: kill the teacher! Of course, when that teacher is also a supremely powerful being, it is easier said than done.",0,"ASSASSINATION CLASSROOM, VOL. 2",Yusei Matsui,by Yusei Matsui,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9781421576084.jpeg,http://www.amazon.com/Assassination-Classroom-Vol-Yusei-Matsui/dp/1421576082?tag=thenewyorktim-20,,,,,
Manga,2015-02-14,2015-03-01,3,0,10,0,0,1616554126,9781616554125,Dark Horse,"Follow the virtual (and musical) adventures of Hatsune Miku and her friends in this collected edition of stories, in black and white and color.",0,UNOFFICIAL HATSUNE MIX,KEI,by KEI,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9781616554125.jpeg,http://www.amazon.com/Unofficial-Hatsune-Mix-Miku/dp/1616554126?tag=thenewyorktim-20,,,,,
Manga,2015-02-14,2015-03-01,4,0,85,0,0,1612620248,9781612620244,Kodansha Comics,Is this the end of humanity? It sure looks that way when what is left of mankind must go into hiding to escape the giant humanoids known as the Titans.,0,"ATTACK ON TITAN, VOL. 1",Hajime Isayama,by Hajime Isayama,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9781612620244.jpg,http://www.amazon.com/Attack-Titan-1-Hajime-Isayama/dp/1612620248?tag=thenewyorktim-20,,,,,
Manga,2015-02-14,2015-03-01,5,0,4,0,0,0316259373,9780316259378,Yen Press,"Yuuki Asuna is yet another prisoner in the virtual reality game Sword Art Online. Can she apply her study habits as a top school student to her new, fantastical surroundings?",0,"SWORD ART ONLINE: PROGRESSIVE, VOL. 1",Reki Kawahara and Kiseki Himura,by Reki Kawahara and Kiseki Himura,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9780316259378.jpeg,http://www.amazon.com/Sword-Online-Progressive-manga-Manga/dp/0316259373?tag=thenewyorktim-20,,,,,
Manga,2015-02-14,2015-03-01,6,0,1,0,0,162692113X,9781626921139,Seven Seas Entertainment,"Ash Blake attends the Ansarivan Dragonar Academy, where each student rides their own dragon. But Ash’s dragon, Eco, is different and can transform into a human girl.",0,"DRAGONAR ACADEMY, VOL. 5",Shiki Mizuchi,by Shiki Mizuchi,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9781626921139.jpg,http://www.amazon.com/Dragonar-Academy-Vol-Shiki-Mizuchi/dp/162692113X?tag=thenewyorktim-20,,,,,
Manga,2015-02-14,2015-03-01,7,0,1,0,0,1612626718,9781612626710,Kodansha Comics,"Mei Tachibana has no friends and that’s how she likes it. But will she change her tune when Yamato, the most popular boy in school, wants to be her boyfriend?",0,"SAY I LOVE YOU, VOL. 6",Kanae Hazuki,by Kanae Hazuki,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9781612626710.jpeg,http://www.amazon.com/Say-I-Love-You-6/dp/1612626718?tag=thenewyorktim-20,,,,,
Manga,2015-02-14,2015-03-01,8,0,4,0,0,0316259462,9780316259460,Yen Press,"Tatsumi hopes to earn money for his village by working in the Capital, but that won’t be easy in a place where corruption is rampant and a league of assassins are the only good guys.",0,"AKAME GA KILL!, VOL. 1",Takahiro and Tetsuya Tashiro,by Takahiro and Tetsuya Tashiro,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9780316259460.jpeg,http://www.amazon.com/Akame-ga-KILL-Vol-1/dp/0316259462?tag=thenewyorktim-20,,,,,
Manga,2015-02-14,2015-03-01,9,0,1,0,0,1626921164,9781626921160,Seven Seas Entertainment,Alice goes further down the rabbit hole to deal with the Jokers and solve the mystery of the Circus and the Prison Realm.,0,"ALICE IN THE COUNTRY OF JOKER: CIRCUS AND LIARS GAME, VOL. 7",QuinRose and Mamenosuke Fujimaru,by QuinRose and Mamenosuke Fujimaru,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9781626921160.jpg,http://www.amazon.com/Alice-Country-Joker-Circus-Liars/dp/1626921164?tag=thenewyorktim-20,,,,,
Manga,2015-02-14,2015-03-01,10,0,4,0,0,0316259403,9780316259408,Yen Press,Are werewolves and witches to blame for a series of gruesome deaths in Germany? Earl Ciel Phantomhive and his demon butler Sebastian investigate.,0,"BLACK BUTLER, VOL. 19",Yana Toboso,by Yana Toboso,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9780316259408.jpeg,http://www.amazon.com/Black-Butler-Vol-Yana-Toboso/dp/0316259403?tag=thenewyorktim-20,,,,,
