List Name,Bestsellers Date,Published Date,Rank,Rank Last Week,Weeks on List,Asterisk,Dagger,Primary ISBN10,Primary ISBN13,Publisher,Description,Price,Title,Author,Contributor,Contributor Note,Book Image,Amazon Product URL,Age Group,Book Review Link,First Chapter Link,Sunday Review Link,Article Chapter Link
Manga,2014-12-20,2015-01-04,1,0,80,0,0,1612620248,9781612620244,Kodansha Comics,Is this the end of humanity? It sure looks that way when what is left of mankind must go into hiding to escape the giant humanoids known as the Titans.,0,"ATTACK ON TITAN, VOL. 1",Hajime Isayama,by Hajime Isayama,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9781612620244.jpg,http://www.amazon.com/Attack-Titan-1-Hajime-Isayama/dp/1612620248?tag=thenewyorktim-20,,,,,,16126202489781612620244
Manga,2014-12-20,2015-01-04,2,0,3,0,0,1421576821,9781421576824,VIZ Media,"As this series barrels toward its conclusion, Naruto and the Shinobi Alliance continue their battle against Obito.",0,"NARUTO, VOL. 68",Masashi Kishimoto,by Masashi Kishimoto,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9781421576824.jpeg,http://www.amazon.com/Naruto-Vol-68-Masashi-Kishimoto/dp/1421576821?tag=thenewyorktim-20,,,,,,14215768219781421576824
Manga,2014-12-20,2015-01-04,3,0,2,0,0,1421576074,9781421576077,VIZ Media,"The students of class of 3–E have only one assignment: kill the teacher! Of course, when that teacher is also a supremely powerful being, it is easier said than done.",0,"ASSASSINATION CLASSROOM, VOL. 1",Yusei Matsui,by Yusei Matsui,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9781421576077.jpeg,http://www.amazon.com/Assassination-Classroom-Vol-Yusei-Matsui/dp/1421576074?tag=thenewyorktim-20,,,,,,14215760749781421576077
Manga,2014-12-20,2015-01-04,4,0,1,0,0,0316336556,9780316336550,Yen Press,"Kirito has escaped from the virtual reality world of Sword Art Online, but now, he must go inside another game to try and save the woman he loves.",0,"SWORD ART ONLINE: FAIRY DANCE, VOL. 2",Reki Kawahara and Tsubasa Haduki,by Reki Kawahara and Tsubasa Haduki,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9780316336550.jpeg,http://www.amazon.com/Sword-Art-Online-Fairy-Dance/dp/0316336556?tag=thenewyorktim-20,,,,,,03163365569780316336550
Manga,2014-12-20,2015-01-04,5,0,2,0,0,1616554126,9781616554125,Dark Horse,"Follow the virtual (and musical) adventures of Hatsune Miku and her friends in this collected edition of stories, in black and white and color.",0,UNOFFICIAL HATSUNE MIX,KEI,by KEI,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9781616554125.jpeg,http://www.amazon.com/Unofficial-Hatsune-Mix-Miku/dp/1616554126?tag=thenewyorktim-20,,,,,,16165541269781616554125
Manga,2014-12-20,2015-01-04,6,0,16,0,0,1612629415,9781612629414,Kodansha Comics,The origins of the Survey Corps leaders Levi and Erwin are told in this spin–off series.,0,"ATTACK ON TITAN: NO REGRETS, VOL. 1","Gun Snark, Hikaru Suruga and Hajime Isayama","by Gun Snark, Hikaru Suruga and Hajime Isayama",,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9781612629414.jpg,http://www.amazon.com/Attack-Titan-No-Regrets-1/dp/1612629415?tag=thenewyorktim-20,,,,,,16126294159781612629414
Manga,2014-12-20,2015-01-04,7,0,8,0,0,1612629431,9781612629438,Kodansha Comics,The origins of the Survey Corps leaders Levi and Erwin are told in this spinoff series.,0,"ATTACK ON TITAN: NO REGRETS, VOL. 2","Gun Snark, Hikaru Suruga and Hajime Isayama","by Gun Snark, Hikaru Suruga and Hajime Isayama",,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9781612629438.jpeg,http://www.amazon.com/Attack-Titan-No-Regrets-2/dp/1612629431?tag=thenewyorktim-20,,,,,,16126294319781612629438
Manga,2014-12-20,2015-01-04,8,0,42,0,0,1612620256,9781612620251,Kodansha Comics,"Mankind has gone into hiding to escape the giant humanoids known as the Titans. In this volume, the Titans attack and one of them goes rogue.",0,"ATTACK ON TITAN, VOL. 2",Hajime Isayama,by Hajime Isayama,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9781612620251.jpg,http://www.amazon.com/Attack-Titan-2-Hajime-Isayama/dp/1612620256?tag=thenewyorktim-20,,,,,,16126202569781612620251
Manga,2014-12-20,2015-01-04,9,0,1,0,0,0316336602,9780316336604,Yen Press,"Kraft Lawrence, a young merchant finds himself with a companion: Holo, the Wolf–God of the harvest.",0,"SPICE AND WOLF, VOL. 10",Isuna Hasekura and Keito Koume,by Isuna Hasekura and Keito Koume,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9780316336604.jpeg,http://www.amazon.com/Spice-Wolf-Vol-10-manga/dp/0316336602?tag=thenewyorktim-20,,,,,,03163366029780316336604
Manga,2014-12-20,2015-01-04,10,0,1,0,0,0316288799,9780316288798,Yen Press,"This series adapts the plot from the role–playing video game, where a young boy must save a magical kingdom with his allies Donald Duck and Goofy.",0,"KINGDOM HEARTS II, VOL. 3",Shiro Amano,by Shiro Amano,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9780316288798.jpeg,http://www.amazon.com/Kingdom-Hearts-II-Vol-3/dp/0316288799?tag=thenewyorktim-20,,,,,,03162887999780316288798
