Rank,Rank Last Week,Weeks on List,Asterisk,Dagger,Primary ISBN10,Primary ISBN13,Publisher,Description,Price,Title,Author,Contributor,Contributor Note,Book Image,Amazon Product URL,Age Group,Book Review Link,First Chapter Link,Sunday Review Link,Article Chapter Link
1,0,1,0,0,142152810X,9781421528106,VIZ Media,Ichigo Kurosaki sees dead people and must help usher them safely into the afterlife.,9.99,"BLEACH,  VOL. 32",Tite Kubo,by Tite Kubo,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9781421528106.jpg,http://www.amazon.com/Bleach-Vol-32-Tite-Kubo/dp/142152810X?tag=thenewyorktim-20,,,,,,142152810X9781421528106
2,0,1,0,0,1427818908,9781427818904,TOKYOPOP,"Alice wanders into a very different part of Wonderland in this interpretation of the classic tale. In this new area of the fantasy land, every man is in love with Alice... and firearms.",10.99,"ALICE IN THE COUNTRY OF HEARTS, VOL. 4",Quinrose and Hoshino Soumei,by Quinrose and Hoshino Soumei,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9781427818904.jpg,http://www.amazon.com/Alice-Country-Hearts-Vol-4/dp/1427818908?tag=thenewyorktim-20,,,,,,14278189089781427818904
3,1,3,0,0,0759529698,9780759529694,Yen Press,"Isn’t being a kid hard enough? For this group, who are also part bird, nothing comes easy. An F.B.I. agent steps in to help, but the evil ""erasers"" lurk around the corner.",12.99,"MAXIMUM RIDE, VOL. 3",James Patterson and NaRae Lee,by James Patterson and NaRae Lee,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9780759529694.jpg,http://www.amazon.com/Maximum-Ride-The-Manga-Vol/dp/0759529698?tag=thenewyorktim-20,,,,,,07595296989780759529694
4,0,1,0,0,1427817898,9781427817891,TOKYOPOP,"This series, described as a romantic comedy, is about the relationship between Misaki and Akihiko, a male tutor, who meet when Misaki needs help with college entrance exams.",14.99,"JUNJO ROMANTICA, VOL. 12",Shungiki Nakamura,by Shungiki Nakamura,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9781427817891.jpg,http://www.amazon.com/JUNJO-ROMANTICA-Volume-Shungiku-Nakamura/dp/1427817898?tag=thenewyorktim-20,,,,,,14278178989781427817891
5,2,14,0,0,1421534746,9781421534749,VIZ Media,"The origins and true nature of Pain, Naruto’s arch nemesis, are revealed.",9.99,"NARUTO, VOL. 48",Masashi Kishimoto,by Masashi Kishimoto,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9781421534749.jpg,http://www.amazon.com/Naruto-Vol-48-Cheering-Village/dp/1421534746?tag=thenewyorktim-20,,,,,,14215347469781421534749
6,0,1,0,0,1427825513,9781427825513,TOKYOPOP,"Chibi is a vampire with a twist: rather than suck blood, this young, female vampire has to expel it. This series fills in some of her back story and includes behind-the-scenes material.",10.99,CHIBI VAMPIRE AIRMAIL,Yuna Kagesaki,by Yuna Kagesaki,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9781427825513.jpg,http://www.amazon.com/Chibi-Vampire-Airmail-Yuna-Kagesaki/dp/1427825513?tag=thenewyorktim-20,,,,,,14278255139781427825513
7,3,5,0,0,1421531372,9781421531373,VIZ Media,"Tsukune Aono’s new school is filled with vampires and werewolves. And the girl he is interested seems to have eyes for him, but is it his blood she’s after?",9.99,"ROSARIO + VAMPIRE: SEASON II, VOL. 2",Akihisa Ikeda,by Akihisa Ikeda,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9781421531373.jpg,http://www.amazon.com/Rosario-Vampire-Season-II-Vol/dp/1421531372?tag=thenewyorktim-20,,,,,,14215313729781421531373
8,0,1,0,0,0345508181,9780345508188,Random House,"This series tells the story of Itsuki Minami, the toughest kid at Higashi Junior High School. In this installment, mysteries and confrontations abound.",21.99,"AIR GEAR 15/16/17, VOL. 15",Oh!Great,by Oh!Great,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9780345508188.jpg,http://www.amazon.com/Air-Gear-15-16-17/dp/0345508181?tag=thenewyorktim-20,,,,,,03455081819780345508188
9,4,5,0,0,1421527685,9781421527680,VIZ Media,Misao Harada can see into a magical realm where she is the bride demon of prophecy. How will she survive the pursuit of demons who want the power in her blood?,9.99,"BLACK BIRD, VOL. 5",Kanoko Sakurakoji,by Kanoko Sakurakoji,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9781421527680.jpg,http://www.amazon.com/Black-Bird-Vol-Kanoko-Sakurakoji/dp/1421527685?tag=thenewyorktim-20,,,,,,14215276859781421527680
10,5,5,0,0,1421535130,9781421535135,VIZ Media,"This manga series is about Moritaka Mashiro, who enjoys drawing and Akito Takagi, a would-be writer, who team up to create a manga series. Will they survive the world of publishing?",9.99,"BAKUMAN, VOL. 1",Tsugumi Ohba and Takeshi Obata,by Tsugumi Ohba and Takeshi Obata,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9781421535135.jpg,http://www.amazon.com/Bakuman-Vol-1-Tsugumi-Ohba/dp/1421535130?tag=thenewyorktim-20,,,,,,14215351309781421535135
