List Name,Bestsellers Date,Published Date,Rank,Rank Last Week,Weeks on List,Asterisk,Dagger,Primary ISBN10,Primary ISBN13,Publisher,Description,Price,Title,Author,Contributor,Contributor Note,Book Image,Amazon Product URL,Age Group,Book Review Link,First Chapter Link,Sunday Review Link,Article Chapter Link
Manga,2013-06-08,2013-06-23,1,0,1,0,0,1421553724,9781421553726,VIZ Media,"From the publisher: ""In the Heartland theme park, Yuma (with a little help from Astral) has managed to defeat Captain Corn in an amazing duel, but there are more challenges yet to come!""",0,"YU-GI-OH! ZEXAL, VOL. 3",Shin Yoshida and Naohito Miyoshi,by Shin Yoshida and Naohito Miyoshi,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9781421553726.jpg,http://www.amazon.com/Yu-Gi-Oh-Zexal-Vol-Shin-Yoshida/dp/1421553724?tag=thenewyorktim-20,,,,,,14215537249781421553726
Manga,2013-06-08,2013-06-23,2,0,1,0,0,1616551348,9781616551346,Dark Horse Comics,"This epic samurai story gets reprinted in a larger format, 700 pages at a time.",0,LONE WOLF AND CUB OMNIBUS VOL. 1,Kazuo Koike and Goseki Kojima,by Kazuo Koike and Goseki Kojima,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9781616551346.jpg,http://www.amazon.com/Lone-Wolf-Cub-Omnibus-Volume/dp/1616551348?tag=thenewyorktim-20,,,,,,16165513489781616551346
Manga,2013-06-08,2013-06-23,3,0,1,0,0,1421553716,9781421553719,VIZ Media,"From the publisher: ""Can Luffy and his mates uncover the dark secrets of this mysterious island?""",0,"ONE PIECE, VOL. 67",Eiichiro Oda,by Eiichiro Oda,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9781421553719.jpg,http://www.amazon.com/One-Piece-Vol-Eiichiro-Oda/dp/1421553716?tag=thenewyorktim-20,,,,,,14215537169781421553719
Manga,2013-06-08,2013-06-23,4,0,1,0,0,1421558947,9781421558943,VIZ Media,"This volume introduces Pokemon trainers Black, who embarks on a journey of discovery, and White, who hopes to make her trainee a star.",0,"POKEMON BLACK AND WHITE, VOL. 10",Hidenori Kusaka,by Hidenori Kusaka,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9781421558943.jpg,http://www.amazon.com/Pok?tag=thenewyorktim-20,,,,,,142155894797814215589431421558971978142155897414215589639781421558967
Manga,2013-06-08,2013-06-23,5,0,1,0,0,1421554798,9781421554792,VIZ Media,"ame, romance and broken hearts.",0,"SKIP BEAT, VOL. 31",Yoshiki Nakamura,by Yoshiki Nakamura,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9781421554792.jpg,http://www.amazon.com/Skip-Beat-Vol-Yoshiki-Nakamura/dp/1421554798?tag=thenewyorktim-20,,,,,,14215547989781421554792
Manga,2013-06-08,2013-06-23,6,0,3,0,0,1937867250,9781937867256,Seven Seas Entertainment,"Alice is further down the rabbit hole. In this adventure, she must deal with the Jokers and solve the mystery of the Circus and the Prison Realm.",0,"ALICE IN THE COUNTRY OF JOKER: CIRCUS AND LIAR'S GAME, VOL. 2",QuinRose,by QuinRose,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9781937867256.jpg,http://www.amazon.com/Alice-Country-Joker-Circus-Liars/dp/1937867250?tag=thenewyorktim-20,,,,,,19378672509781937867256
Manga,2013-06-08,2013-06-23,7,0,1,0,0,1421554046,9781421554044,Viz Media,"Can Lady, Pearl and Diamond release the three legendary Pokemon in time to make a difference?",0,"POKEMON ADVENTURES, DIAMOND AND PEARL/PLATINUM, VOL. 8",Hidenori Kusaka,by Hidenori Kusaka,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9781421554044.jpg,http://www.amazon.com/Pok?tag=thenewyorktim-20,,,,,,1421554046978142155404414215617949781421561790
Manga,2013-06-08,2013-06-23,8,0,5,0,0,1421552485,9781421552484,VIZ Media,"From the publisher: ""With Itachi having stopped Kabuto, it’s time for the Edotensei warriors to finally be returned to the afterlife.""",0,"NARUTO, VOL. 61",Masashi Kishimoto,by Masashi Kishimoto,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9781421552484.jpg,http://www.amazon.com/Naruto-Vol-61-Uchiha-Brothers/dp/1421552485?tag=thenewyorktim-20,,,,,,14215524859781421552484
Manga,2013-06-08,2013-06-23,9,0,1,0,0,0316231924,9780316231923,Yen Press,"Maka, an arms expert, wants to turn the Soul Eater, her living scythe, into the ultimate weapon for Death.",0,"SOUL EATER, VOL. 14",Atsushi Ohkubo,by Atsushi Ohkubo,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9780316231923.jpg,http://www.amazon.com/Soul-Eater-Vol-Atsushi-Ohkubo/dp/0316231924?tag=thenewyorktim-20,,,,,,03162319249780316231923
Manga,2013-06-08,2013-06-23,10,0,3,0,0,1612620078,9781612620077,Kodansha Comics,"Sailor Moon fights for justice in the name of the Moon and the mysterious Moon Princess. Along the way, she recruits other girls to be Sailor Scouts and join her fight against evil.",0,"SAILOR MOON, VOL. 11",Naoko Takeuchi,by Naoko Takeuchi,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9781612620077.jpg,http://www.amazon.com/Sailor-Moon-11-Naoko-Takeuchi/dp/1612620078?tag=thenewyorktim-20,,,,,,16126200789781612620077
