List Name,Bestsellers Date,Published Date,Rank,Rank Last Week,Weeks on List,Asterisk,Dagger,Primary ISBN10,Primary ISBN13,Publisher,Description,Price,Title,Author,Contributor,Contributor Note,Book Image,Amazon Product URL,Age Group,Book Review Link,First Chapter Link,Sunday Review Link,Article Chapter Link
Manga,2014-04-12,2014-04-27,1,0,2,0,0,1421564556,9781421564555,VIZ Media,The magical beast Ten Tails has awoken and only Naruto and the Allied Shinobi Forces stand in its way!,0,"NARUTO, VOL. 65",Masashi Kishimoto,by Masashi Kishimoto,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9781421564555.jpeg,http://www.amazon.com/Naruto-Vol-65-Hashirama-Madara/dp/1421564556?tag=thenewyorktim-20,,,,,,14215645569781421564555
Manga,2014-04-12,2014-04-27,2,0,1,0,0,1421564238,9781421564234,VIZ Media,"Prince Vald is forever cursed to transform into a demon every night, unless a powerful sorcerer named Halvi can help him break the spell!",0,"CRIMSON SPELL, VOL. 3",Ayano Yamane,by Ayano Yamane,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9781421564234.jpg,http://www.amazon.com/Crimson-Spell-Vol-Ayano-Yamane/dp/1421564238?tag=thenewyorktim-20,,,,,,14215642389781421564234
Manga,2014-04-12,2014-04-27,3,0,2,0,0,0316371238,9780316371230,Yen Press,"In the not–too–distant future, a popular virtual reality video game traps its users, so the only way to log out is to beat the game. But if they die in the virtual world, it also means “game over” in the real world!",0,SWORD ART ONLINE: AINCRAD,Reki Kawahara and Tamako Nakamura,by Reki Kawahara and Tamako Nakamura,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9780316371230.jpeg,http://www.amazon.com/Sword-Art-Online-Aincrad-manga/dp/0316371238?tag=thenewyorktim-20,,,,,,03163712389780316371230
Manga,2014-04-12,2014-04-27,4,0,2,0,0,1421564580,9781421564586,VIZ Media,"Ichigo Kurosaki sees dead people and helps usher them safely into the afterlife. In this volume, Ichigo returns to the World of the Living, where he encounters his father.",0,"BLEACH, VOL. 60",Tite Kubo,by Tite Kubo,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9781421564586.jpg,http://www.amazon.com/Bleach-Vol-60-Tite-Kubo/dp/1421564580?tag=thenewyorktim-20,,,,,,14215645809781421564586
Manga,2014-04-12,2014-04-27,5,0,2,0,0,031640165X,9780316401654,Yen Press,"Hana meets and falls in love with a man who is a werewolf, but when tragedy strikes, she is forced to raise their children alone in this adaptation of the animated film.",0,WOLF CHILDREN: AME AND YUKI,Mamoru Hosoda and Yu,by Mamoru Hosoda and Yu,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9780316401654.jpeg,http://www.amazon.com/Wolf-Children-Yuki-Mamoru-Hosoda/dp/031640165X?tag=thenewyorktim-20,,,,,,031640165X9780316401654
Manga,2014-04-12,2014-04-27,6,0,44,0,0,1612620248,9781612620244,Kodansha Comics,Is this the end of humanity? It sure looks that way when what is left of mankind must go into hiding to escape the giant humanoids known as the Titans.,0,"ATTACK ON TITAN, VOL. 1",Hajime Isayama,by Hajime Isayama,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9781612620244.jpg,http://www.amazon.com/Attack-Titan-1-Hajime-Isayama/dp/1612620248?tag=thenewyorktim-20,,,,,,16126202489781612620244
Manga,2014-04-12,2014-04-27,7,0,1,0,0,1421559552,9781421559551,VIZ Media,"This series is inspired by the characters and tales from “The Arabian Nights.” In this volume, Aladdin, with the help of King Sinbad, tries to rescue Ali Baba from the Fog Troop.",0,"MAGI: THE LABYRINTH OF MAGIC, VOL. 5",Shinobu Ohtaka,by Shinobu Ohtaka,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9781421559551.jpeg,http://www.amazon.com/Magi-The-Labyrinth-Magic-Vol/dp/1421559552?tag=thenewyorktim-20,,,,,,14215595529781421559551
Manga,2014-04-12,2014-04-27,8,0,25,0,0,1612620256,9781612620251,Kodansha Comics,"Mankind has gone into hiding to escape the giant humanoids known as the Titans. In this volume, the Titans attack, but one of them goes rogue.",0,"ATTACK ON TITAN, VOL. 2",Hajime Isayama,by Hajime Isayama,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9781612620251.jpg,http://www.amazon.com/Attack-Titan-2-Hajime-Isayama/dp/1612620256?tag=thenewyorktim-20,,,,,,16126202569781612620251
Manga,2014-04-12,2014-04-27,9,0,3,0,0,1612624324,9781612624327,Kodansha Comics,Fairy Tail vaults to the top of the rankings in the Grand Magic Games but why aren’t they excited about their victory?,0,"FAIRY TAIL, VOL. 36",Hiro Mashima,by Hiro Mashima,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9781612624327.jpeg,http://www.amazon.com/Fairy-Tail-36-Hiro-Mashima/dp/1612624324?tag=thenewyorktim-20,,,,,,16126243249781612624327
Manga,2014-04-12,2014-04-27,10,0,1,0,0,1626920532,9781626920538,Seven Seas Entertainment,"Nightmare Gottschalk may not make much of an impression in the waking world, but in dreams, he can use his power to be smooth and charismatic enough to steal Alice’s heart.",0,ALICE IN THE COUNTRY OF CLOVER: NIGHTMARE,QuinRose and Yobu,by QuinRose and Yobu,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9781626920538.jpeg,http://www.amazon.com/Alice-Country-Clover-Nightmare-QuinRose/dp/1626920532?tag=thenewyorktim-20,,,,,,16269205329781626920538
