List Name,Bestsellers Date,Published Date,Rank,Rank Last Week,Weeks on List,Asterisk,Dagger,Primary ISBN10,Primary ISBN13,Publisher,Description,Price,Title,Author,Contributor,Contributor Note,Book Image,Amazon Product URL,Age Group,Book Review Link,First Chapter Link,Sunday Review Link,Article Chapter Link
Manga,2014-07-12,2014-07-27,1,0,2,0,0,1421569485,9781421569482,VIZ Media,The ninja war rages on and Naruto is joined by his father in the effort to defeat Obito and Madara.,0,"NARUTO, VOL. 66",Masashi Kishimoto,by Masashi Kishimoto,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9781421569482.jpg,http://www.amazon.com/Naruto-Vol-66-Masashi-Kishimoto/dp/1421569485?tag=thenewyorktim-20,,,,,,14215694859781421569482
Manga,2014-07-12,2014-07-27,2,0,2,0,0,1421569183,9781421569185,VIZ Media,"Yuma forms the Numbers Club, whose purpose is to find new Numbers Cards and foil the evil plans of Dr. Faker.",0,"YU-GI-OH! ZEXAL, VOL. 5",Shin Yoshida and Naohito Miyoshi,by Shin Yoshida and Naohito Miyoshi,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9781421569185.jpg,http://www.amazon.com/Yu-Gi-Oh-Zexal-Vol-Shin-Yoshida/dp/1421569183?tag=thenewyorktim-20,,,,,,14215691839781421569185
Manga,2014-07-12,2014-07-27,3,0,2,0,0,1421565846,9781421565842,VIZ Media,The son of a notorious gangster gets caught in a love triangle with his childhood sweetheart and the daughter of his father’s rival.,0,"NISEKOI: FALSE LOVE, VOL. 4",Naoshi Komi,by Naoshi Komi,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9781421565842.jpg,http://www.amazon.com/Nisekoi-False-Love-Vol-Making/dp/1421565846?tag=thenewyorktim-20,,,,,,14215658469781421565842
Manga,2014-07-12,2014-07-27,4,0,3,0,0,1612629415,9781612629414,Kodansha Comics,The origins of the Survey Corps leaders Levi and Erwin are told in this spin–off series.,0,"ATTACK ON TITAN: NO REGRETS, VOL. 1","Gun Snark, Hikaru Suruga and Hajime Isayama","by Gun Snark, Hikaru Suruga and Hajime Isayama",,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9781612629414.jpg,http://www.amazon.com/Attack-Titan-No-Regrets-1/dp/1612629415?tag=thenewyorktim-20,,,,,,16126294159781612629414
Manga,2014-07-12,2014-07-27,5,0,2,0,0,1421535572,9781421535579,VIZ Media,Green is sucked into a vortex and only a former enemy can help her escape.,0,"POKEMON ADVENTURES, VOL. 23",Hidenori Kusaka and Satoshi Yamamoto,by Hidenori Kusaka and Satoshi Yamamoto,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9781421535579.jpg,http://www.amazon.com/Pokémon-Adventures-Vol-23-Pokemon/dp/1421535572?tag=thenewyorktim-20,,,,,,14215355729781421535579
Manga,2014-07-12,2014-07-27,6,0,57,0,0,1612620248,9781612620244,Kodansha Comics,Is this the end of humanity? It sure looks that way when what is left of mankind must go into hiding to escape the giant humanoids known as the Titans.,0,"ATTACK ON TITAN, VOL. 1",Hajime Isayama,by Hajime Isayama,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9781612620244.jpg,http://www.amazon.com/Attack-Titan-1-Hajime-Isayama/dp/1612620248?tag=thenewyorktim-20,,,,,,16126202489781612620244
Manga,2014-07-12,2014-07-27,7,0,1,0,0,1612629350,9781612629353,Kodansha Comics,"Set in the same universe as “Negima!,” this series follows Touta, the grandson of Negi Springfield, who becomes a vampire after being mortally wounded.",0,"UQ HOLDER, VOL. 2",Ken Akamatsu,by Ken Akamatsu,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9781612629353.jpg,http://www.amazon.com/UQ-Holder-2-Ken-Akamatsu/dp/1612629350?tag=thenewyorktim-20,,,,,,16126293509781612629353
Manga,2014-07-12,2014-07-27,8,0,2,0,0,0316407380,9780316407380,Yen Press,"Kirito has escaped from the virtual reality world of Sword Art Online, but now, he must go inside another game to try and save the woman he loves.",0,"SWORD ART ONLINE: FAIRY DANCE, VOL. 1",Reki Kawahara and Tsubasa Haduki,by Reki Kawahara and Tsubasa Haduki,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9780316407380.jpg,http://www.amazon.com/Sword-Art-Online-Fairy-Dance/dp/0316407380?tag=thenewyorktim-20,,,,,,03164073809780316407380
Manga,2014-07-12,2014-07-27,9,0,1,0,0,1612629253,9781612629254,Kodansha Comics,"Princess Elizabeth continues her quest to reclaim her kingdom by finding the Seven Deadly Sins, a group of warriors who were wrongly sent into exile and branded as traitors.",0,"SEVEN DEADLY SINS, VOL. 3",Nakaba Suzuki,by Nakaba Suzuki,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9781612629254.jpg,http://www.amazon.com/The-Seven-Deadly-Sins-3/dp/1612629253?tag=thenewyorktim-20,,,,,,16126292539781612629254
Manga,2014-07-12,2014-07-27,10,0,33,0,0,1612620256,9781612620251,Kodansha Comics,"Mankind has gone into hiding to escape the giant humanoids known as the Titans. In this volume, the Titans attack and one of them goes rogue.",0,"ATTACK ON TITAN, VOL. 2",Hajime Isayama,by Hajime Isayama,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9781612620251.jpg,http://www.amazon.com/Attack-Titan-2-Hajime-Isayama/dp/1612620256?tag=thenewyorktim-20,,,,,,16126202569781612620251
