Rank,Rank Last Week,Weeks on List,Asterisk,Dagger,Primary ISBN10,Primary ISBN13,Publisher,Description,Price,Title,Author,Contributor,Contributor Note,Book Image,Amazon Product URL,Age Group,Book Review Link,First Chapter Link,Sunday Review Link,Article Chapter Link
1,0,1,0,0,0759529728,9780759529724,Yen Press,"Isn’t being a kid hard enough? For this group, who are also part bird, nothing comes easy.",12.99,"MAXIMUM RIDE, VOL. 6",James Patterson,by James Patterson,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9780759529724.jpg,http://www.amazon.com/Maximum-Ride-The-Manga-Vol/dp/0759529728?tag=thenewyorktim-20,,,,,,07595297289780759529724
2,0,2,0,0,1421549808,9781421549804,VIZ Media,"Yuma Tsukumo will stop at nothing to become the Duel Masters champion, but as a rank amateur, the odds are stacked against him. Luckily, he has a mysterious spirit named Astral to help him.",9.99,"YU-GI-OH! ZEXAL, VOL. 2",Kazuki Takahashi,by Kazuki Takahashi,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9781421549804.jpg,http://www.amazon.com/Yu-Gi-Oh-Zexal-Vol-Kazuki-Takahashi/dp/1421549808?tag=thenewyorktim-20,,,,,,14215498089781421549804
3,0,1,0,0,0316229202,9780316229203,Yen Press,"This is not your typical wonderland: Peter is a man with rabbit ears and Elliott March, the Mad Hatter’s enforcer, is a mafia hitman. How will Alice survive?",11.99,"ALICE IN THE COUNTRY OF HEARTS: MY FANATIC RABBIT, VOL. 1",Quinrose,by Quinrose,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9780316229203.jpg,http://www.amazon.com/Alice-Country-Hearts-Fanatic-Rabbit/dp/0316229202?tag=thenewyorktim-20,,,,,,03162292029780316229203
4,0,1,0,0,0316217166,9780316217163,Yen Press,Are the magical dreams of Madoka Kaname suddenly becoming a reality?,11.99,"PUELLA MAGI MADOKA MAGICA, VOL. 3",Magica Quartet,by Magica Quartet,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9780316217163.jpg,http://www.amazon.com/Puella-Magi-Madoka-Magica-Vol/dp/0316217166?tag=thenewyorktim-20,,,,,,03162171669780316217163
5,0,1,0,0,0316197335,9780316197335,Yen Press,"Oz, who is condemned to an abyss for a mysterious sin, sets out to investigate with an Alice, an equally mysterious girl he met in exile.",11.99,"PANDORA HEARTS, VOL. 13",Jun Mochizuki,by Jun Mochizuki,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9780316197335.jpg,http://www.amazon.com/Pandora-Hearts-Vol-Jun-Mochizuki/dp/0316197335?tag=thenewyorktim-20,,,,,,03161973359780316197335
6,0,1,0,0,1612622755,9781612622750,Kodansha Comics,Alita is a powerful cyborg with a soft heart and a mysterious past.,10.99,"BATTLE ANGEL ALITA: LAST ORDER, VOL. 16",Yukito Kishiro,by Yukito Kishiro,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9781612622750.jpg,http://www.amazon.com/Battle-Angel-Alita-Order-Volume/dp/1612622755?tag=thenewyorktim-20,,,,,,16126227559781612622750
7,0,2,0,0,1421542935,9781421542935,VIZ Media,This series is about grade-school boys who want to become professionals in the manga industry.,9.99,"BAKUMAN, VOL. 17",Tsugumi Ohba,by Tsugumi Ohba,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9781421542935.jpg,http://www.amazon.com/Bakuman-Vol-17-Tsugumi-Ohba/dp/1421542935?tag=thenewyorktim-20,,,,,,14215429359781421542935
8,0,2,0,0,1421549212,9781421549217,VIZ Media,Misao Harada can see into a magical realm where she is the bride demon of prophecy.,9.99,"BLACK BIRD, VOL. 15",Kanoko Sakurakouji,by Kanoko Sakurakouji,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9781421549217.jpg,http://www.amazon.com/Black-Bird-Vol-Kanoko-Sakurakouji/dp/1421549212?tag=thenewyorktim-20,,,,,,14215492129781421549217
9,0,6,0,0,1421549425,9781421549422,VIZ Media,Naruto and his allies battle an army of undead ninjas and an unexpected resurrection throws them all for a loop.,9.99,"NARUTO, VOL. 59",Masashi Kishimoto,by Masashi Kishimoto,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9781421549422.jpg,http://www.amazon.com/Naruto-Vol-59-Five-Kage/dp/1421549425?tag=thenewyorktim-20,,,,,,14215494259781421549422
10,0,2,0,0,1421543052,9781421543055,VIZ Media,"Ichigo Kurosaki sees dead people and must help usher them safely into the afterlife. In this volume, Ichigo is still on his quest to regain his powers.",9.99,"BLEACH, VOL. 52",Tite Kubo,by Tite Kubo,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9781421543055.jpg,http://www.amazon.com/Bleach-Vol-52-Tite-Kubo/dp/1421543052?tag=thenewyorktim-20,,,,,,14215430529781421543055
