List Name,Bestsellers Date,Published Date,Rank,Rank Last Week,Weeks on List,Asterisk,Dagger,Primary ISBN10,Primary ISBN13,Publisher,Description,Price,Title,Author,Contributor,Contributor Note,Book Image,Amazon Product URL,Age Group,Book Review Link,First Chapter Link,Sunday Review Link,Article Chapter Link
Manga,2014-05-31,2014-06-15,1,0,2,0,0,1626920168,9781626920163,Seven Seas Entertainment,"Ash Blake attends the Ansarivan Dragonar Academy, where each student rides their own dragon. But Ash's dragon, Eco, is different and can transform into a human girl.",0,"DRAGONAR ACADEMY, VOL. 2",Shiki Mizuchi and Ran,by Shiki Mizuchi and Ran,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9781626920163.jpg,http://www.amazon.com/Dragonar-Academy-Vol-Shiki-Mizuchi/dp/1626920168?tag=thenewyorktim-20,,,,,,16269201689781626920163
Manga,2014-05-31,2014-06-15,2,0,4,0,0,1626920311,9781626920316,Seven Seas Entertainment,"A teenager signs up to help mythical creatures assimilate into society. How will he contend being roommates with a sexy snake woman, an alluring centaur girl and a harpy who likes to flirt?",0,"MONSTER MUSUME, VOL. 3",Okayado,by Okayado,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9781626920316.jpg,http://www.amazon.com/Monster-Musume-Vol-3-OKAYADO/dp/1626920311?tag=thenewyorktim-20,,,,,,16269203119781626920316
Manga,2014-05-31,2014-06-15,3,0,1,0,0,0316406953,9780316406956,Yen Press,Crona goes on a killing spree in Moscow at the behest of Medusa. Will Maka be able to stop him?,0,"SOUL EATER, VOL. 20",Atsushi Ohkubo,by Atsushi Ohkubo,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9780316406956.jpg,http://www.amazon.com/Soul-Eater-Vol-Atsushi-Ohkubo/dp/0316406953?tag=thenewyorktim-20,,,,,,03164069539780316406956
Manga,2014-05-31,2014-06-15,4,0,51,0,0,1612620248,9781612620244,Kodansha Comics,Is this the end of humanity? It sure looks that way when what is left of mankind must go into hiding to escape the giant humanoids known as the Titans.,0,"ATTACK ON TITAN, VOL. 1",Hajime Isayama,by Hajime Isayama,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9781612620244.jpg,http://www.amazon.com/Attack-Titan-1-Hajime-Isayama/dp/1612620248?tag=thenewyorktim-20,,,,,,16126202489781612620244
Manga,2014-05-31,2014-06-15,5,0,1,0,0,0316407364,9780316407366,Yen Press,"Issei Hyodo’s first date with Yuma Amano does end well. Instead of a goodnight kiss, she kills him! But his death is only the beginning, when he is reincarnated as a devil.",0,"HIGH SCHOOL DXD, VOL. 1",Ichiei Ishibumi and Hiroji Mishima,by Ichiei Ishibumi and Hiroji Mishima,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9780316407366.jpg,http://www.amazon.com/High-School-DxD-Vol-1/dp/0316407364?tag=thenewyorktim-20,,,,,,03164073649780316407366
Manga,2014-05-31,2014-06-15,6,0,5,0,0,1612626785,9781612626789,Kodansha Comics,Erwin and the Survey Corps launch a dangerous mission to rescue Eren from the Colossus and Armored Titans.,0,"ATTACK ON TITAN, VOL. 12",Hajime Isayama,by Hajime Isayama,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9781612626789.jpeg,http://www.amazon.com/Attack-Titan-12-Hajime-Isayama/dp/1612626785?tag=thenewyorktim-20,,,,,,16126267859781612626789
Manga,2014-05-31,2014-06-15,7,0,13,0,0,1612626769,9781612626765,Kodansha Comics,"The 104th Training Corps stop for a much–needed respite in Utgard Castle, but their plans to rest are foiled when they discover that the Titans are now attacking at night.",0,"ATTACK ON TITAN, VOL. 10",Hajime Isayama,by Hajime Isayama,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9781612626765.jpg,http://www.amazon.com/Attack-Titan-10-Hajime-Isayama/dp/1612626769?tag=thenewyorktim-20,,,,,,16126267699781612626765
Manga,2014-05-31,2014-06-15,8,0,29,0,0,1612620256,9781612620251,Kodansha Comics,"Mankind has gone into hiding to escape the giant humanoids known as the Titans. In this volume, the Titans attack, but one of them goes rogue.",0,"ATTACK ON TITAN, VOL. 2",Hajime Isayama,by Hajime Isayama,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9781612620251.jpg,http://www.amazon.com/Attack-Titan-2-Hajime-Isayama/dp/1612620256?tag=thenewyorktim-20,,,,,,16126202569781612620251
Manga,2014-05-31,2014-06-15,9,0,8,0,0,031640165X,9780316401654,Yen Press,"Hana meets and falls in love with a man who is a werewolf, but when tragedy strikes, she is forced to raise their children alone in this adaptation of the animated film.",0,WOLF CHILDREN: AME AND YUKI,Mamoru Hosoda and Yu,by Mamoru Hosoda and Yu,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9780316401654.jpeg,http://www.amazon.com/Wolf-Children-Yuki-Mamoru-Hosoda/dp/031640165X?tag=thenewyorktim-20,,,,,,031640165X9780316401654
Manga,2014-05-31,2014-06-15,10,0,3,0,0,1612624340,9781612624341,Kodansha Comics,"Erza, Gajeel and Laxus reach the finals of The Grand Magic Games but those events pale in comparison to another shocking development: the return of the dragons.",0,"FAIRY TAIL, VOL. 38",Hiro Mashima,by Hiro Mashima,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9781612624341.jpeg,http://www.amazon.com/Fairy-Tail-38-Hiro-Mashima/dp/1612624340?tag=thenewyorktim-20,,,,,,16126243409781612624341
