List Name,Bestsellers Date,Published Date,Rank,Rank Last Week,Weeks on List,Asterisk,Dagger,Primary ISBN10,Primary ISBN13,Publisher,Description,Price,Title,Author,Contributor,Contributor Note,Book Image,Amazon Product URL,Age Group,Book Review Link,First Chapter Link,Sunday Review Link,Article Chapter Link
Manga,2012-07-21,2012-08-05,1,0,2,0,0,1612620027,9781612620022,Kodansha Comics,"Sailor Moon fights for justice in the name of the Moon and the mysterious Moon Princess. Along the way, she recruits other girls to be Sailor Scouts and join her fight against evil.",10.99,"SAILOR MOON, VOL. 6",Naoko Takeuchi,by Naoko Takeuchi,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9781612620022.jpg,http://www.amazon.com/Sailor-Moon-6-Naoko-Takeuchi/dp/1612620027?tag=thenewyorktim-20,,,,,,16126200279781612620022
Manga,2012-07-21,2012-08-05,2,0,1,0,0,1935934910,9781935934912,Seven Seas Entertainment,"In this reimagining of Lewis Carroll's ""Alice's Adventures in Wonderland,"" the Cheshire Cat, disguised as a human named Boris, vies for Alice's affections.",13.99,"ALICE IN THE COUNTRY OF CLOVER: CHESHIRE CAT WALTZ, VOL. 1",QuinRose and Mamenosuke Fujimaru,by  QuinRose and Mamenosuke Fujimaru,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9781935934912.jpg,http://www.amazon.com/Alice-Country-Clover-Cheshire-Waltz/dp/1935934910?tag=thenewyorktim-20,,,,,,19359349109781935934912
Manga,2012-07-21,2012-08-05,3,0,2,0,0,1421543060,9781421543062,VIZ Media,Will an ally of Naruto sacrifice his own life to prevent Naruto from risking his own?,9.99,"NARUTO, VOL. 57",Masashi Kishimoto,by Masashi Kishimoto,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9781421543062.jpg,http://www.amazon.com/Naruto-Vol-57-Masashi-Kishimoto/dp/1421543060?tag=thenewyorktim-20,,,,,,14215430609781421543062
Manga,2012-07-21,2012-08-05,4,0,3,0,0,1421542099,9781421542096,VIZ Media,Life in a high school filled with werewolves and vampires continues.,9.99,"ROSARIO+VAMPIRE: SEASON II, VOL. 9",Akihisa Ikeda,by Akihisa Ikeda,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9781421542096.jpg,http://www.amazon.com/Rosario-Vampire-Season-II-Vol/dp/1421542099?tag=thenewyorktim-20,,,,,,14215420999781421542096
Manga,2012-07-21,2012-08-05,5,0,2,0,0,1612621201,9781612621203,Kodansha Comics,"Negi, the boy wizard, learns he will be teaching English at an all-girls high school in Japan, but he must keep his powers a secret.",10.99,"NEGIMA! MAGISTER NEGI MAGI, VOL. 35",Ken Akamatsu,by Ken Akamatsu,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9781612621203.jpg,http://www.amazon.com/Negima-35-Ken-Akamatsu/dp/1612621201?tag=thenewyorktim-20,,,,,,16126212019781612621203
Manga,2012-07-21,2012-08-05,6,0,1,0,0,1421535394,9781421535395,VIZ Media,"In this penultimate volume of the apocalyptic series, The Friend is poised to carry out his plan for destruction and only the boys can stop him.",12.99,"20TH CENTURY BOYS, VOL. 21",Naoki Urasawa,by Naoki Urasawa,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9781421535395.jpg,http://www.amazon.com/Naoki-Urasawas-20th-Century-Boys/dp/1421535394?tag=thenewyorktim-20,,,,,,14215353949781421535395
Manga,2012-07-21,2012-08-05,7,0,3,0,0,142154296X,9781421542966,VIZ Media,Ichigo Kurosaki sees dead people and must help usher them safely into the afterlife.,9.99,"BLEACH, VOL. 43",Tite Kubo,by Tite Kubo,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9781421542966.jpg,http://www.amazon.com/Bleach-Vol-43-Tite-Kubo/dp/142154296X?tag=thenewyorktim-20,,,,,,142154296X9781421542966
Manga,2012-07-21,2012-08-05,8,0,3,0,0,1421541394,9781421541396,VIZ Media,"Ichigo Kurosaki sees dead people and must help usher them safely into the afterlife. In this volume, Karakura Town hangs in the balance of a fierce battle.",9.99,"BLEACH, VOL. 42",Tite Kubo,by Tite Kubo,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9781421541396.jpg,http://www.amazon.com/Bleach-Vol-42-Tite-Kubo/dp/1421541394?tag=thenewyorktim-20,,,,,,14215413949781421541396
Manga,2012-07-21,2012-08-05,9,0,3,0,0,1421543079,9781421543079,VIZ Media,Monkey D. Luffy and his motley crew of would-be pirates search for a legendary treasure called “One Piece.”,9.99,"ONE PIECE, VOL. 63",Eiichiro Oda,by Eiichiro Oda,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9781421543079.jpg,http://www.amazon.com/One-Piece-Vol-Eiichiro-Oda/dp/1421543079?tag=thenewyorktim-20,,,,,,14215430799781421543079
Manga,2012-07-21,2012-08-05,10,0,8,0,0,1935429760,9781935429760,Kodansha Comics,"Sailor Moon fights for justice in the name of the Moon and the mysterious Moon Princess. Along the way, she recruits other girls to be Sailor Scouts and join her fight against evil.",10.99,"SAILOR MOON, VOL. 3",Naoko Takeuchi,by Naoko Takeuchi,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9781935429760.jpg,http://www.amazon.com/Sailor-Moon-3-Naoko-Takeuchi/dp/1935429760?tag=thenewyorktim-20,,,,,,19354297609781935429760
