List Name,Bestsellers Date,Published Date,Rank,Rank Last Week,Weeks on List,Asterisk,Dagger,Primary ISBN10,Primary ISBN13,Publisher,Description,Price,Title,Author,Contributor,Contributor Note,Book Image,Amazon Product URL,Age Group,Book Review Link,First Chapter Link,Sunday Review Link,Article Chapter Link
Manga,2009-09-19,2009-10-04,1,1,3,0,0,1421523868,9781421523866,VIZ Media,Ichigo Kurosaki sees dead people and must help usher them safely into the afterlife.,7.95,"BLEACH, VOL. 28",Tite Kubo,by Tite Kubo,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9781421523866.jpg,http://www.amazon.com/Bleach-Vol-28-Tite-Kubo/dp/1421523868?tag=thenewyorktim-20,,,,,,
Manga,2009-09-19,2009-10-04,2,2,11,0,0,1421531356,9781421531359,VIZ Media,"Jiraiya, ninja and mentor to Naruto, put everything he learned about the Akatsuki organization in code. Can Naruto decipher it in time?",7.95,"NARUTO, VOL. 45",Masashi Kishimoto,by Masashi Kishimoto,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9781421531359.jpg,http://www.amazon.com/Naruto-Vol-45-Battlefied-Konoha-ebook/dp/B00F3HJFWY?tag=thenewyorktim-20,,,,,,14215313569781421531359
Manga,2009-09-19,2009-10-04,3,0,1,0,0,0316073245,9780316073240,Yen Press,"This series follows Yotsuba, a young girl learning about the world. In this chapter, she recycles, gets a bike and discovers sticky notes. Really.",10.99,"YOTSUBA&!, VOL. 6",Kiyohiko Azuma,by Kiyohiko Azuma,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9780316073240.jpg,http://www.amazon.com/Yotsuba-Vol-6-Kiyohiko-Azuma/dp/0316073245?tag=thenewyorktim-20,,,,,,
Manga,2009-09-19,2009-10-04,4,0,1,0,0,1427817103,9781427817105,TOKYOPOP,"This series, set in the future, is about an online, multiplayer game run amok. This volume concludes the tale.",10.99,".HACK G.U.   , VOL. 5",Hamazaki Tatsuya,by Hamazaki Tatsuya,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9781427817105.jpg,http://www.amazon.com/hack-G-U-Volume-Tatsuya-Hamazaki/dp/1427817103?tag=thenewyorktim-20,,,,,,
Manga,2009-09-19,2009-10-04,5,0,1,0,0,1421530341,9781421530345,VIZ Media,Two brothers harmed in a ritual that was half magic/half science seek the legendary Philosopher’s Stone to make things right. But others seek the weapon of alchemy for their own nefarious means.,9.99,"FULLMETAL ALCHEMIST, VOL. 20",Hiromu Arakawa,by Hiromu Arakawa,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9781421530345.jpg,http://www.amazon.com/Fullmetal-Alchemist-Vol-Hiromu-Arakawa/dp/1421530341?tag=thenewyorktim-20,,,,,,
Manga,2009-09-19,2009-10-04,6,3,8,0,0,142152676X,9781421526768,VIZ Media,"Cross Academy has day and evening students, but the latter have a secret: they are vampires.",8.99,"VAMPIRE KNIGHT, VOL. 7",Matsuri Hino,by Matsuri Hino,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9781421526768.jpg,http://www.amazon.com/Vampire-Knight-Vol-Matsuri-Hino-ebook/dp/B00F3HJALA?tag=thenewyorktim-20,,,,,,142152676X9781421526768
Manga,2009-09-19,2009-10-04,7,4,11,0,0,1427808279,9781427808271,TOKYOPOP,"This series is about a family that is possessed by the animals of the Chinese zodiac. Secrets from the past are revealed and Akito, head of the clan, finds her control slipping.",10.99,"FRUITS BASKET, VOL. 23",Natsuki Takaya,by Natsuki Takaya,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9781427808271.jpg,http://www.amazon.com/Fruits-Basket-Vol-Natsuki-Takaya/dp/1427808279?tag=thenewyorktim-20,,,,,,
Manga,2009-09-19,2009-10-04,8,0,1,0,0,0759529868,9780759529861,Yen Press,This murder mystery was adapted from a video game. This volume has more deaths and twins battling over Keiichi’s affection.,10.99,"HIGURASHI: WHEN THEY CRY, VOL. 2",Ryukishi07 and Yutori Houjyou,by Ryukishi07 and Yutori Houjyou,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9780759529861.jpg,http://www.amazon.com/Higurashi-When-They-Cry-Drifting/dp/0759529868?tag=thenewyorktim-20,,,,,,
Manga,2009-09-19,2009-10-04,9,5,7,0,0,1421527642,9781421527642,VIZ Media,"Misao Harada can see the magic hidden in the world, but it turns out to be a a power that demons wants to exploit. Will her childhood friend, Kyo, who is the head of a demon clan, help or hurt her?",8.99,"BLACK BIRD, VOL. 1",Kanoko Sakurakoji,by Kanoko Sakurakoji,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9781421527642.jpg,http://www.amazon.com/Black-Bird-Vol-Kanoko-Sakurakoji/dp/1421527642?tag=thenewyorktim-20,,,,,,
Manga,2009-09-19,2009-10-04,10,6,22,0,0,1421529297,9781421529295,VIZ Media,"Naruto’s former teammate, Sasuke, learns vital details about his family’s past.",7.95,"NARUTO, VOL. 43",Masashi Kishimoto,by Masashi Kishimoto,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9781421529295.jpg,http://www.amazon.com/Naruto-Vol-43-The-Truth/dp/1421529297?tag=thenewyorktim-20,,,,,,
