"Primary ISBN10","Primary ISBN13",Title,Author
1612620396,9781612620398,"ARISA, VOL. 6","Natsumi Ando"
1421576074,9781421576077,"ASSASSINATION CLASSROOM, VOL. 1","Yusei Matsui"
1421576082,9781421576084,"ASSASSINATION CLASSROOM, VOL. 2","Yusei Matsui"
1612620248,9781612620244,"ATTACK ON TITAN, VOL. 1","Hajime Isayama"
1612626769,9781612626765,"ATTACK ON TITAN, VOL. 10","Hajime Isayama"
1612626777,9781612626772,"ATTACK ON TITAN, VOL. 11","Hajime Isayama"
1612626785,9781612626789,"ATTACK ON TITAN, VOL. 12","Hajime Isayama"
1612626793,9781612626796,"ATTACK ON TITAN, VOL. 13","Hajime Isayama"
1612626807,9781612626802,"ATTACK ON TITAN, VOL. 14","Hajime Isayama"
1612629792,9781612629797,"ATTACK ON TITAN, VOL. 15","Hajime Isayama"
1612620256,9781612620251,"ATTACK ON TITAN, VOL. 2","Hajime Isayama"
1612620264,9781612620268,"ATTACK ON TITAN, VOL. 3","Hajime Isayama"
1612622534,9781612622538,"ATTACK ON TITAN, VOL. 4","Hajime Isayama"
1612622542,9781612622545,"ATTACK ON TITAN, VOL. 5","Hajime Isayama"
1612622550,9781612622552,"ATTACK ON TITAN, VOL. 6","Hajime Isayama"
1612622569,9781612622569,"ATTACK ON TITAN, VOL. 7","Hajime Isayama"
1612625479,9781612625478,"ATTACK ON TITAN, VOL. 8","Hajime Isayama"
1612625487,9781612625485,"ATTACK ON TITAN, VOL. 9","Hajime Isayama"
1612629105,9781612629100,"ATTACK ON TITAN: BEFORE THE FALL, VOL. 1","Hajime Isayama, Ryo Suzukaze and Satoshi Shiki"
1612629121,9781612629124,"ATTACK ON TITAN: BEFORE THE FALL, VOL. 2","Hajime Isayama, Ryo Suzukaze and Satoshi Shiki"
1612629148,9781612629148,"ATTACK ON TITAN: BEFORE THE FALL, VOL. 3","Hajime Isayama, Ryo Suzukaze, Satoshi Shiki"
1612629164,9781612629162,"ATTACK ON TITAN: JUNIOR HIGH, VOL. 1","Hajime Isayama and Saki Nakagawa"
1612629415,9781612629414,"ATTACK ON TITAN: NO REGRETS, VOL. 1","Gun Snark, Hikaru Suruga and Hajime Isayama"
1612629431,9781612629438,"ATTACK ON TITAN: NO REGRETS, VOL. 2","Gun Snark, Hikaru Suruga and Hajime Isayama"
142154136X,9781421541365,"BAKUMAN VOL. 12","Tsugumi Ohba"
1421535130,9781421535135,"BAKUMAN, VOL. 1","Tsugumi Ohba and Takeshi Obata"
None,9781421539959,"BAKUMAN, VOL. 10","Tsugumi Ohba"
1421541033,9781421541037,"BAKUMAN, VOL. 11","Tsugumi Ohba"
1421542080,9781421542089,"BAKUMAN, VOL. 13","Tsugumi Ohba"
1421542900,9781421542904,"BAKUMAN, VOL. 14","Tsugumi Ohba"
1421542919,9781421542911,"BAKUMAN, VOL. 15","Tsugumi Ohba"
1421542927,9781421542928,"BAKUMAN, VOL. 16","Tsugumi Ohba"
1421542935,9781421542935,"BAKUMAN, VOL. 17","Tsugumi Ohba"
1421542943,9781421542942,"BAKUMAN, VOL. 18","Tsugumi Ohba"
1421542951,9781421542959,"BAKUMAN, VOL. 19","Takeshi Obata"
1421535149,9781421535142,"BAKUMAN, VOL. 2","Takeshi Obata and Tsugumi Ohba"
1421553708,9781421553702,"BAKUMAN, VOL. 20","Tsugumi Ohba"
1421535157,9781421535159,"BAKUMAN, VOL. 3","Tsugumi Ohba and Takeshi Obata"
1421537931,9781421537931,"BAKUMAN, VOL. 4","Tsugumi Ohba and Takeshi Obata"
142153794X,9781421537948,"BAKUMAN, VOL. 5","Tsugumi Ohba"
1421538245,9781421538242,"BAKUMAN, VOL. 6","Tsugumi Ohba"
1421538881,9781421538884,"BAKUMAN, VOL. 7","Tsugumi Ohba"
142153889X,9781421538891,"BAKUMAN, VOL. 8","Tsugumi Ohba"
1421539586,9781421539584,"BAKUMAN, VOL. 9","Tsugumi Ohba"
None,9780316189439,"BAMBOO BLADE, VOL. 12","Masahiro Totsuka"
1421529181,9781421529189,"BATTLE ANGEL ALITA: LAST ORDER, VOL. 12","Yukito Kishiro"
1421533510,9781421533513,"BATTLE ANGEL ALITA: LAST ORDER, VOL. 13","Yukito Kishiro"
1421539217,9781421539218,"BATTLE ANGEL ALITA: LAST ORDER, VOL. 15","Yukito Kishiro"
1612622755,9781612622750,"BATTLE ANGEL ALITA: LAST ORDER, VOL. 16","Yukito Kishiro"
1612622968,9781612622965,"BATTLE ANGEL ALITA: LAST ORDER, VOL. 17","Yukito Kishiro"
1595825320,9781595825322,"BERSERK, VOL. 34","Kentaro Miura"
0316263893,9780316263894,"BIG HERO 6, VOL. 1","Haruki Ueno"
1421531852,9781421531854,"BIOMEGA, VOL. 2","Tsutomu Nihei"
1421532778,9781421532776,"BIOMEGA, VOL. 6","Tsutomu Nihei"
1421527642,9781421527642,"BLACK BIRD, VOL. 1","Kanoko Sakurakoji"
1421538431,9781421538433,"BLACK BIRD, VOL. 10","Kanoko Sakurakoji"
1421539373,9781421539379,"BLACK BIRD, VOL. 11","Kanoko Sakurakoji"
1421540525,9781421540528,"BLACK BIRD, VOL. 12","Kanoko Sakurakoji"
1421541777,9781421541778,"BLACK BIRD, VOL. 13","Kanoko Sakurakoji"
1421542757,9781421542751,"BLACK BIRD, VOL. 14","Kanoko Sakurakoji"
1421549212,9781421549217,"BLACK BIRD, VOL. 15","Kanoko Sakurakouji"
1421552434,9781421552439,"BLACK BIRD, VOL. 16","Kanoko Sakurakoji"
1421558904,9781421558905,"BLACK BIRD, VOL. 17","Kanoko Sakurakouji"
1421560097,9781421560090,"BLACK BIRD, VOL. 18","Kanoko Sakurakouji"
1421527650,9781421527659,"BLACK BIRD, VOL. 2","Kanoko Sakurakoji"
1421527669,9781421527666,"BLACK BIRD, VOL. 3","Kanoko Sakurakoji"
1421527677,9781421527673,"BLACK BIRD, VOL. 4","Kanoko Sakurakoji"
1421527685,9781421527680,"BLACK BIRD, VOL. 5","Kanoko Sakurakoji"
142153066X,9781421530666,"BLACK BIRD, VOL. 6","Kanoko Sakurakoji"
1421533111,9781421533117,"BLACK BIRD, VOL. 7","Kanoko Sakurakoji"
1421535807,9781421535807,"BLACK BIRD, VOL. 8","Kanoko Sakurakoji"
1421537745,9781421537740,"BLACK BIRD, VOL. 9","Kanoko Sakurakoji"
0316080845,9780316080842,"BLACK BUTLER, VOL. 1","Yana Toboso"
031618988X,9780316189880,"BLACK BUTLER, VOL. 10","Yana Toboso"
0316225339,9780316225335,"BLACK BUTLER, VOL. 11","Yana Toboso"
0316225347,9780316225342,"BLACK BUTLER, VOL. 12","Yana Toboso"
None,9780316244299,"BLACK BUTLER, VOL. 13","Yana Toboso"
0316244309,9780316244305,"BLACK BUTLER, VOL. 14","Yana Toboso"
0316254193,9780316254199,"BLACK BUTLER, VOL. 15","Yana Toboso"
0316369020,9780316369022,"BLACK BUTLER, VOL. 16","Yana Toboso"
0316376701,9780316376709,"BLACK BUTLER, VOL. 17","Yana Toboso"
031633622X,9780316336222,"BLACK BUTLER, VOL. 18","Yana Toboso"
0316259403,9780316259408,"BLACK BUTLER, VOL. 19","Yana Toboso"
0316084255,9780316084253,"BLACK BUTLER, VOL. 2","Yana Toboso"
0316084263,9780316084260,"BLACK BUTLER, VOL. 3","Yana Toboso"
031608428X,9780316084284,"BLACK BUTLER, VOL. 4","Yana Toboso"
0316084298,9780316084291,"BLACK BUTLER, VOL. 5","Yana Toboso"
0316084301,9780316084307,"BLACK BUTLER, VOL. 6","Yana Toboso"
0316189634,9780316189637,"BLACK BUTLER, VOL. 7","Yana Toboso"
0316189650,9780316189651,"BLACK BUTLER, VOL. 8","Yana Toboso"
0316189677,9780316189675,"BLACK BUTLER, VOL. 9","Yana Toboso"
0345485904,9780345485908,"BLACK CAT, VOLUME 20","Kentaro Yabuki"
0316189626,9780316189620,"BLACK GOD, VOL. 15","Dall-Young Lim and Sung-Woo Park"
1935654012,9781935654018,"BLACK JACK, VOL. 16","Osamu Tezuka"
193565411X,9781935654117,"BLACK JACK, VOL. 17","Osamu Tezuka"
1421536293,9781421536293,"BLACK LAGOON, VOL. 9","Rei Hiroe"
1421539934,9781421539935,"BLEACH (3-IN-1 EDITION), VOL. 2","Tite Kubo"
142152810X,9781421528106,"BLEACH,  VOL. 32","Tite Kubo"
1421523876,9781421523873,"BLEACH, VOL.  29","Tite Kubo"
0345485904,9780345485908,"BLEACH, VOL. 27","Tite Kubo"
1421523868,9781421523866,"BLEACH, VOL. 28","Tite Kubo"
1421523884,9781421523880,"BLEACH, VOL. 30","Tite Kubo"
1421528096,9781421528090,"BLEACH, VOL. 31","Tite Kubo"
1421528126,9781421528120,"BLEACH, VOL. 34","Tite Kubo"
142153312X,9781421533124,"BLEACH, VOL. 35","Tite Kubo"
1421533138,9781421533131,"BLEACH, VOL. 36","Tite Kubo"
1421543028,9781421543024,"BLEACH, VOL. 36","Tite Kubo"
1421533146,9781421533148,"BLEACH, VOL. 37","Tite Kubo"
