List Name,Bestsellers Date,Published Date,Rank,Rank Last Week,Weeks on List,Asterisk,Dagger,Primary ISBN10,Primary ISBN13,Publisher,Description,Price,Title,Author,Contributor,Contributor Note,Book Image,Amazon Product URL,Age Group,Book Review Link,First Chapter Link,Sunday Review Link,Article Chapter Link
Manga,2012-03-10,2012-03-25,1,0,1,0,0,1421541521,9781421541525,VIZ Media,Naruto is in the middle of a great war — and the opposing side has a horde of animated dead ninjas.,9.99,"NARUTO, VOL. 55",Masashi Kishimoto,by Masashi Kishimoto,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9781421541525.jpg,http://www.amazon.com/Naruto-Vol-55-Great-Begins/dp/1421541521?tag=thenewyorktim-20,,,,,,14215415219781421541525
Manga,2012-03-10,2012-03-25,2,0,1,0,0,None,9781421541440,VIZ Media,"Monkey D. Luffy and his motley crew of would-be pirates search for a legendary treasure called “One Piece.” In this volume, the crew decide to train harder. The reward? New enemies and adventures.",9.99,"ONE PIECE, VOL. 61",Eiichiro Oda,by Eiichiro Oda,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9781421541440.jpg,http://www.amazon.com/One-Piece-Vol-Eiichiro-Oda/dp/1421541440?tag=thenewyorktim-20,,,,,,
Manga,2012-03-10,2012-03-25,3,0,1,0,0,1421541777,9781421541778,VIZ Media,Misao Harada can see into a magical realm where she is the bride demon of prophecy.,9.99,"BLACK BIRD, VOL. 13",Kanoko Sakurakoji,by Kanoko Sakurakoji,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9781421541778.jpg,http://www.amazon.com/Black-Bird-Vol-Kanoko-Sakurakoji/dp/1421541777?tag=thenewyorktim-20,,,,,,14215417779781421541778
Manga,2012-03-10,2012-03-25,4,0,1,0,0,1935654357,9781935654353,Vertical,"Chi, a kitten with a nose for adventure, decides to explore her neighborhood. Will she meet anyone besides a grumpy old human?",13.95,"CHI’S SWEET HOME, VOL. 8",Konami Kanata,by Konami Kanata,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9781935654353.jpg,http://www.amazon.com/Chis-Sweet-Home-Konami-Kanata/dp/1935654357?tag=thenewyorktim-20,,,,,,19356543579781935654353
Manga,2012-03-10,2012-03-25,5,0,1,0,0,1612620272,9781612620275,Kodansha Comics,"This series tells the story of Itsuki Minami, the toughest kid at Higashi Junior High School.",10.99,"AIR GEAR, VOL. 22",Oh!Great,by  Oh!Great,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9781612620275.jpg,http://www.amazon.com/Air-Gear-22-Oh-Great/dp/1612620272?tag=thenewyorktim-20,,,,,,16126202729781612620275
Manga,2012-03-10,2012-03-25,6,0,1,0,0,None,9781421536781,VIZ Media,Ageha Yoshina is searching for a friend who has gone missing and he finds himself in a deadly game with the Psyren Secret Society.,9.99,"PSYREN, VOL. 3",Toshiaki Iwashiro,by Toshiaki Iwashiro,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9781421536781.jpg,http://www.amazon.com/Psyren-Vol-Dragon-Toshiaki-Iwashiro/dp/1421536781?tag=thenewyorktim-20,,,,,,
Manga,2012-03-10,2012-03-25,7,0,8,0,0,1421541025,9781421541020,VIZ Media,"Naruto, who wants to be a great ninja, is locked in a battle to decide the fate of the land.",9.99,"NARUTO, VOL. 54",Masashi Kishimoto,by Masashi Kishimoto,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9781421541020.jpg,http://www.amazon.com/Naruto-Vol-54-Viaduct-Peace/dp/1421541025?tag=thenewyorktim-20,,,,,,14215410259781421541020
Manga,2012-03-10,2012-03-25,8,0,2,0,0,1421542803,9781421542805,VIZ Media,The Pokemon saga continues with the introduction of two new trainers: Black and White.,4.99,"POKEMON BLACK AND WHITE, VOL. 5",Hidenori Kusaka,by Hidenori Kusaka,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9781421542805.jpg,http://www.amazon.com/Pok?tag=thenewyorktim-20,,,,,,14215428039781421542805
Manga,2012-03-10,2012-03-25,9,0,2,0,0,031618201X,9780316182010,Yen Press,"Alexia Tarabotti, who has no soul and can negate supernatural powers, finds herself in the middle of a vampire mystery. Can she clear her name?",12.99,SOULLESS,Gail Carriger,by Gail Carriger,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9780316182010.jpg,http://www.amazon.com/Soulless-Parasol-Protectorate-Gail-Carriger-ebook/dp/B002NPCJ3G?tag=thenewyorktim-20,,,,,,031618201X9780316182010031607165X978031607165903160566349780316056632
Manga,2012-03-10,2012-03-25,10,0,2,0,0,0316071129,9780316071123,Yen Press,"Maka, an arms expert, wants to turn the Soul Eater, her living scythe, into the ultimate weapon for Death.",11.99,"SOUL EATER, VOL. 8",Atsushi Ohkubo,by Atsushi Ohkubo,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9780316071123.jpg,http://www.amazon.com/Soul-Eater-Vol-Atsushi-Ohkubo/dp/0316071129?tag=thenewyorktim-20,,,,,,03160711299780316071123
