List Name,Bestsellers Date,Published Date,Rank,Rank Last Week,Weeks on List,Asterisk,Dagger,Primary ISBN10,Primary ISBN13,Publisher,Description,Price,Title,Author,Contributor,Contributor Note,Book Image,Amazon Product URL,Age Group,Book Review Link,First Chapter Link,Sunday Review Link,Article Chapter Link
Manga,2014-02-22,2014-03-09,1,0,1,0,0,0316369055,9780316369053,Yen Press,Neyn sends a team of vampire slayers to kill Staz and rescue her daughter. But does Fuyumi even want to be saved?,0,"BLOOD LAD, VOL. 4",Yuuki Kodama,by Yuuki Kodama,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9780316369053.jpg,http://www.amazon.com/Blood-Lad-Vol-Yuuki-Kodama/dp/0316369055?tag=thenewyorktim-20,,,,,,03163690559780316369053
Manga,2014-02-22,2014-03-09,2,0,3,0,0,1421562375,9781421562377,VIZ Media,"Ichigo Kurosaki sees dead people and helps usher them safely into the afterlife. In this volume, Ichigo heads to the palace of the Soul King for training.",0,"BLEACH, VOL. 59",Tite Kubo,by Tite Kubo,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9781421562377.jpg,http://www.amazon.com/Bleach-Vol-59-Tite-Kubo/dp/1421562375?tag=thenewyorktim-20,,,,,,14215623759781421562377
Manga,2014-02-22,2014-03-09,3,0,37,0,0,1612620248,9781612620244,Kodansha Comics,Is this the end of humanity? It sure looks that way when what is left of mankind must go into hiding to escape the giant humanoids known as the Titans.,0,"ATTACK ON TITAN, VOL. 1",Hajime Isayama,by Hajime Isayama,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9781612620244.jpg,http://www.amazon.com/Attack-Titan-1-Hajime-Isayama/dp/1612620248?tag=thenewyorktim-20,,,,,,16126202489781612620244
Manga,2014-02-22,2014-03-09,4,0,4,0,0,1612626777,9781612626772,Kodansha Comics,"The identity of the Titans who have been destroying the walls is revealed, but has their treachery been discovered too late to save humanity?",0,"ATTACK ON TITAN, VOL. 11",Hajime Isayama,by Hajime Isayama,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9781612626772.jpg,http://www.amazon.com/Attack-Titan-11-Hajime-Isayama/dp/1612626777?tag=thenewyorktim-20,,,,,,16126267779781612626772
Manga,2014-02-22,2014-03-09,5,0,1,0,0,0316240338,9780316240338,Yen Press,From the publisher: “A group of sinners who bear the guilt of the seven deadly sins has been gathered in an old courthouse to face judgement. Who will the gavel fall on first?”,0,"JUDGE, VOL. 3",Yoshiki Tonogai,by Yoshiki Tonogai,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9780316240338.jpg,http://www.amazon.com/Judge-Vol-3-Yoshiki-Tonogai/dp/0316240338?tag=thenewyorktim-20,,,,,,03162403389780316240338
Manga,2014-02-22,2014-03-09,6,0,7,0,0,1421561395,9781421561394,VIZ Media,"In this latest volume, Naruto stands up to Tobi and the Allied Shinobi Forces battle the Ten-Tailed Beast.",0,"NARUTO, VOL. 64",Masashi Kishimoto,by Masashi Kishimoto,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9781421561394.jpg,http://www.amazon.com/Naruto-Vol-64-Ten-Tails/dp/1421561395?tag=thenewyorktim-20,,,,,,14215613959781421561394
Manga,2014-02-22,2014-03-09,7,0,3,0,0,0316322040,9780316322041,Yen Press,Tomoko Kuroki comes to a harsh realization when she begins high school: she's horribly unpopular!,0,"NO MATTER HOW I LOOK AT IT, IT'S YOU GUYS' FAULT I'M NOT POPULAR!, VOL. 2",Nico Tanigawa,by Nico Tanigawa,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9780316322041.jpg,http://www.amazon.com/Matter-Look-Guys-Fault-Popular/dp/0316322040?tag=thenewyorktim-20,,,,,,03163220409780316322041
Manga,2014-02-22,2014-03-09,8,0,3,0,0,1421555867,9781421555867,VIZ Media,Tomoe reveals that he is dying from a 500-year-old curse. Will Nanami be able to save him?,0,"KAMISAMA KISS, VOL. 14",Julietta Suzuki,by Julietta Suzuki,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9781421555867.jpg,http://www.amazon.com/Kamisama-Kiss-Vol-Julietta-Suzuki/dp/1421555867?tag=thenewyorktim-20,,,,,,14215558679781421555867
Manga,2014-02-22,2014-03-09,9,0,2,0,0,1937867722,9781937867720,Seven Seas Entertainment,"Summer is over and Ryuji and Taiga are back in school, but the most dramatic development happens at home, when Taiga’s father returns.",0,"TORADORA!, VOL. 6",Yuyuko Takemiya and Zekkyo,by Yuyuko Takemiya and Zekkyo,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9781937867720.jpg,http://www.amazon.com/Toradora-Vol-6-Yuyuko-Takemiya/dp/1937867722?tag=thenewyorktim-20,,,,,,19378677229781937867720
Manga,2014-02-22,2014-03-09,10,0,7,0,0,1937867900,9781937867904,Seven Seas Entertainment,"A teenager signs up to help mythical creatures assimilate into society. How will he contend being roommates with a sexy snake woman, an alluring centaur girl and a harpy who likes to flirt?",0,"MONSTER MUSUME, VOL. 1",Okayado,by Okayado,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9781937867904.jpg,http://www.amazon.com/Monster-Musume-Vol-1-OKAYADO/dp/1937867900?tag=thenewyorktim-20,,,,,,19378679009781937867904
