List Name,Bestsellers Date,Published Date,Rank,Rank Last Week,Weeks on List,Asterisk,Dagger,Primary ISBN10,Primary ISBN13,Publisher,Description,Price,Title,Author,Contributor,Contributor Note,Book Image,Amazon Product URL,Age Group,Book Review Link,First Chapter Link,Sunday Review Link,Article Chapter Link
Manga,2009-04-04,2009-04-19,1,0,3,0,0,1421529297,9781421529295,VIZ Media,"Naruto’s former teammate, Sasuke, learns vital details about his family’s past.",7.95,"NARUTO, VOL. 43",Masashi Kishimoto,by Masashi Kishimoto,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9781421529295.jpg,http://www.amazon.com/Naruto-Vol-43-The-Truth/dp/1421529297?tag=thenewyorktim-20,,,,,
Manga,2009-04-04,2009-04-19,2,0,2,0,0,1421528436,9781421528434,VIZ Media,Naruto’s teacher Jiraiya must delve deep into the past to uncover the secret of Pain’s origin.,7.95,"NARUTO, VOL. 42",Masashi Kishimoto,by Masashi Kishimoto,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9781421528434.jpg,http://www.amazon.com/Naruto-Vol-42-Secret-Mangekyo/dp/1421528436?tag=thenewyorktim-20,,,,,
Manga,2009-04-04,2009-04-19,3,0,1,0,0,1421531348,9781421531342,Viz Media,The secret history of Sasuke''s family continues to be revealed.,7.95,"NARUTO, VOL. 44",Masashi Kishimoto,by Masashi Kishimoto,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9781421531342.jpg,http://www.amazon.com/Naruto-Vol-44-Senjutsu-Heir/dp/1421531348?tag=thenewyorktim-20,,,,,
Manga,2009-04-04,2009-04-19,4,0,2,0,0,1439562091,9781439562093,Random House Publishing Group,The young wizard Negi Springfield takes his students on a search for his father.,0,NEGIMA! 21 (MAGISTER NEGI MAGI),Ken Akamatsu,by Ken Akamatsu,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9781439562093.jpeg,http://www.amazon.com/Negima-21-Magister-Negi-Magi/dp/1439562091?tag=thenewyorktim-20,,,,,
Manga,2009-04-04,2009-04-19,5,0,1,0,0,0345509986,9780345509987,Del Ray,"Continuing the adventures of 10-year-old Negi Springfield, based on the popular anime series.",10.99,"NEGIMA!? NEO (MAGISTER NEGI MAGI),  Vol. 1",Takuya Fujiyama and Ken Akamatsu,by Takuya Fujiyama and Ken Akamatsu,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9780345509987.jpg,http://www.amazon.com/Negima-Neo-Magister-Negi-Magi/dp/0345509986?tag=thenewyorktim-20,,,,,
Manga,2009-04-04,2009-04-19,6,0,1,0,0,1591583322,9781591583325,Del Ray,"Troubled by spirits that only he can see, Watanuki Kimiharo strikes a Faustian bargain with an alluring witch to get rid of them.",10.99,XXXHOLIC Vol. 13,Clamp,by Clamp,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9781591583325.jpg,http://www.amazon.com/Understanding-Manga-Anime-Robin-Brenner/dp/1591583322?tag=thenewyorktim-20,,,,,
Manga,2009-04-04,2009-04-19,7,0,5,0,0,2923563190,9782923563190,VIZ Media,"A secret from the past comes back to haunt Naruto’s teacher, Jiraiya.",7.95,"Naruto, Vol. 41",Masashi Kishimoto,by Masashi Kishimoto,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9782923563190.jpg,http://www.amazon.com/classification-d?tag=thenewyorktim-20,,,,,
Manga,2009-04-04,2009-04-19,8,0,4,0,0,292154864X,9782921548649,TokyoPop,This series is about humans who are possessed by the animals of the Chinese zodiac.,10.99,"FRUIT BASKETS, Vol. 22",Natsuki Takaya,by Natsuki Takaya,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9782921548649.jpg,http://www.amazon.com/Mise-jour-Classification-D?tag=thenewyorktim-20,,,,,
Manga,2009-04-04,2009-04-19,9,0,6,0,0,142152841X,9781421528410,VIZ Media,A journey to the Land of Rain unveils a secret.,7.95,"Naruto, Vol. 40",Masashi Kishimoto,by Masashi Kishimoto,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9781421528410.jpg,http://www.amazon.com/Naruto-Vol-40-The-Ultimate/dp/142152841X?tag=thenewyorktim-20,,,,,
Manga,2009-04-04,2009-04-19,10,0,6,0,0,0824210867,9780824210861,VIZ Media,The ninja world of Naruto is threatned by an old enemy.,7.95,"Naruto, Vol. 39",Masashi Kishimoto,by Masashi Kishimoto,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9780824210861.jpeg,http://www.amazon.com/Senior-High-School-Core-Collection/dp/0824210867?tag=thenewyorktim-20,,,,,
