Rank,Rank Last Week,Weeks on List,Asterisk,Dagger,Primary ISBN10,Primary ISBN13,Publisher,Description,Price,Title,Author,Contributor,Contributor Note,Book Image,Amazon Product URL,Age Group,Book Review Link,First Chapter Link,Sunday Review Link,Article Chapter Link
1,0,1,0,0,1421556197,9781421556192,VIZ Media,"From the publisher: ""With Itachi having stopped Kabuto, it’s time for the Edotensei warriors to finally be returned to the afterlife.""",0,"NARUTO, VOL. 62",Masashi Kishimoto,by Masashi Kishimoto,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9781421556192.jpg,http://www.amazon.com/Naruto-Vol-62-The-Crack/dp/1421556197?tag=thenewyorktim-20,,,,,,14215561979781421556192
2,0,1,0,0,1421553708,9781421553702,VIZ Media,This series is about grade-school boys who want to become professionals in the manga industry.,0,"BAKUMAN, VOL. 20",Tsugumi Ohba,by Tsugumi Ohba,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9781421553702.jpg,http://www.amazon.com/Bakuman-Vol-20-Tsugumi-Ohba/dp/1421553708?tag=thenewyorktim-20,,,,,,14215537089781421553702
3,0,1,0,0,1612622704,9781612622705,Kodansha Comics,The Fairy Tail are a group of powerful wizards.,0,"FAIRY TAIL, VOL. 28",Hiro Mashima,by Hiro Mashima,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9781612622705.jpg,http://www.amazon.com/Fairy-Tail-28-Hiro-Mashima/dp/1612622704?tag=thenewyorktim-20,,,,,,16126227049781612622705
4,0,11,0,0,1937867641,9781937867645,TOKYOPOP,"Alice wanders into a very different part of Wonderland in this interpretation of the classic tale. In this new area of the fantasy land, every man is in love with Alice... and firearms.",0,ALICE IN THE COUNTRY OF HEARTS: THE CLOCKMAKER'S STORY,Quinrose and Soumei Hoshino,by Quinrose and Soumei Hoshino,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9781427817693.jpg,http://www.amazon.com/Alice-Country-Hearts-Clockmakers-Story/dp/1937867641?tag=thenewyorktim-20,,,,,,142781769397814278176931937867641978193786764503162127259780316212724
5,0,1,0,0,1421559005,9781421559001,VIZ Media,"From the publisher: ""Troublemaker Gold and feisty Silver must team up again to find their old enemy Lance and the Legendary Pokémon Arceus.""",0,"POKEMON ADVENTURES, HEARTGOLD & SOULSILVER, VOL. 1",Hidenori Kusaka,by Hidenori Kusaka,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9781421559001.jpg,http://www.amazon.com/Pok?tag=thenewyorktim-20,,,,,,14215590059781421559001
6,0,3,0,0,0316244309,9780316244305,Yen Press,Sebastian is a loyal butler who moves easily from dinner parties to the underworld. Is he too good to be true? Is he even human?,0,"BLACK BUTLER, VOL. 14",Yana Toboso,by Yana Toboso,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9780316244305.jpg,http://www.amazon.com/Black-Butler-Vol-Yana-Toboso/dp/0316244309?tag=thenewyorktim-20,,,,,,03162443099780316244305
7,0,9,0,0,1612620248,9781612620244,Kodansha Comics,Is this the end of humanity? It sure looks that way when what is left of mankind must go into hiding to escape the giant humanoids known as the Titans.,0,"ATTACK ON TITAN, VOL. 1",Hajime Isayama,by Hajime Isayama,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9781612620244.jpg,http://www.amazon.com/Attack-Titan-1-Hajime-Isayama/dp/1612620248?tag=thenewyorktim-20,,,,,,16126202489781612620244
8,0,2,0,0,0316401145,9780316401142,Yen Press,"A boy named Roxas encounters strange creatures and is plagued by strange dreams. How will this lead to a boy named Sora, Donald Duck and Goofy?",0,"KINGDOM HEARTS II, VOL. 1",Shiro Amano,by Shiro Amano,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9780316401142.jpg,http://www.amazon.com/Kingdom-Hearts-II-Vol-1/dp/0316401145?tag=thenewyorktim-20,,,,,,03164011459780316401142
9,0,4,0,0,1612620256,9781612620251,Kodansha Comics,Is this the end of humanity? It sure looks that way when what is left of mankind must go into hiding to escape the giant humanoids known as the Titans.,0,"ATTACK ON TITAN, VOL. 2",Hajime Isayama,by Hajime Isayama,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9781612620251.jpg,http://www.amazon.com/Attack-Titan-2-Hajime-Isayama/dp/1612620256?tag=thenewyorktim-20,,,,,,16126202569781612620251
10,0,1,0,0,1612620264,9781612620268,Kodansha Comics, Is this the end of humanity? It sure looks that way when what is left of mankind must go into hiding to escape the giant humanoids known as the Titans.,0,"ATTACK ON TITAN, VOL. 3",Hajime Isayama,by Hajime Isayama,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9781612620268.jpg,http://www.amazon.com/Attack-Titan-3-Hajime-Isayama/dp/1612620264?tag=thenewyorktim-20,,,,,,16126202649781612620268
