Rank,Rank Last Week,Weeks on List,Asterisk,Dagger,Primary ISBN10,Primary ISBN13,Publisher,Description,Price,Title,Author,Contributor,Contributor Note,Book Image,Amazon Product URL,Age Group,Book Review Link,First Chapter Link,Sunday Review Link,Article Chapter Link
1,0,1,0,0,1421536307,9781421536309,VIZ Media,Two brothers harmed in a ritual that was half magic/half science seek the legendary Philosopher’s Stone to make things right.,9.99,"FULLMETAL ALCHEMIST, VOL. 23",Hiromu Arakawa,by Hiromu Arakawa,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9781421536309.jpg,http://www.amazon.com/Fullmetal-Alchemist-Vol-Hiromu-Arakawa/dp/1421536307?tag=thenewyorktim-20,,,,,,14215363079781421536309
2,1,8,0,0,1421534746,9781421534749,VIZ Media,"The origins and true nature of Pain, Naruto’s arch nemesis, are revealed.",9.99,"NARUTO, VOL. 48",Masashi Kishimoto,by Masashi Kishimoto,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9781421534749.jpg,http://www.amazon.com/Naruto-Vol-48-Cheering-Village/dp/1421534746?tag=thenewyorktim-20,,,,,,14215347469781421534749
3,2,3,0,0,1421535653,9781421535654,VIZ Media,"Haruhi, a poor girl at a rich school, is forced to work – as a boy – for the school’s all-male club. The series is described as a “romantic comedy.”",9.99,"OURAN HIGH SCHOOL HOST CLUB, VOL. 14",Bisco Hatori,by Bisco Hatori,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9781421535654.jpg,http://www.amazon.com/Ouran-High-School-Host-Club/dp/1421535653?tag=thenewyorktim-20,,,,,,14215356539781421535654
4,3,8,0,0,1421535696,9781421535692,VIZ Media,The battle for Cross Academy continues as Headmaster Cross enters the fray.,9.99,"VAMPIRE KNIGHT, VOL. 10",Matsuri Hino,by Matsuri Hino,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9781421535692.jpg,http://www.amazon.com/Vampire-Knight-Vol-Matsuri-Hino/dp/1421535696?tag=thenewyorktim-20,,,,,,14215356969781421535692
5,0,10,0,0,1427817693,9781427817693,TOKYOPOP,"Alice wanders into a very different part of Wonderland in this interpretation of the classic tale. 

In this new area of the fantasy land, every man is in love with Alice... and firearms.",10.99,ALICE IN THE COUNTRY OF HEARTS: THE CLOCKMAKER'S STORY,Quinrose and Soumei Hoshino,by Quinrose and Soumei Hoshino,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9781427817693.jpg,http://www.amazon.com/Alice-Country-Hearts-Clockmakers-Story/dp/1937867641?tag=thenewyorktim-20,,,,,,142781769397814278176931937867641978193786764503162127259780316212724
6,0,1,0,0,1401224814,9781401224813,DC Comics,"Two American boys, both obsessed with computer games and manga, find themselves in Tokyo and unable to get home. Adventures ensue!",10.99,"MEGATOKYO, VOL. 6",Fred Gallagher,by Fred Gallagher,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9781401224813.jpg,http://www.amazon.com/Megatokyo-Vol-6-Fred-Gallagher/dp/1401224814?tag=thenewyorktim-20,,,,,,14012248149781401224813
7,0,1,0,0,1421522829,9781421522821,VIZ Media,This collected edition has 624 pages of samurai action.,19.99,"VAGABOND, VOL. 8 (VIZBIG EDITION)",Takehiko Inoue,by Takehiko Inoue,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9781421522821.jpg,http://www.amazon.com/Vagabond-Vol-8-VIZBIG-Edition/dp/1421522829?tag=thenewyorktim-20,,,,,,14215228299781421522821
8,0,20,0,0,1421533057,9781421533056,VIZ Media,"Naruto learns more secrets from his past and moves closer to discovering the identity of his nemesis, Pain.",9.99,"NARUTO, VOL. 47",Masashi Kishimoto,by Masashi Kishimoto,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9781421533056.jpg,http://www.amazon.com/Naruto-Vol-47-Seal-Destroyed/dp/1421533057?tag=thenewyorktim-20,,,,,,14215330579781421533056
9,0,1,0,0,1421520710,9781421520711,VIZ Media,These 560 pages collect volumes 22-24 of the Dragon Ball Z series.,17.99,"DRAGON BALL Z, VOL. 8 (VIZBIG EDITION)",Akira Toriyama,by Akira Toriyama,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9781421520711.jpg,http://www.amazon.com/Dragon-Ball-Vol-VIZBIG-Edition/dp/1421520710?tag=thenewyorktim-20,,,,,,14215207109781421520711
10,0,5,0,0,1421530104,9781421530109,VIZ Media,"In the final volume of the spinoff series, Yugi must duel to the death to save Anzu’s soul.",9.99,"YU-GI-OH! R, VOL. 5",Akira Ito,by Akira Ito,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9781421530109.jpg,http://www.amazon.com/Yu-Gi-Oh-R-Vol-Akira-Ito/dp/1421530104?tag=thenewyorktim-20,,,,,,14215301049781421530109
