List Name,Bestsellers Date,Published Date,Rank,Rank Last Week,Weeks on List,Asterisk,Dagger,Primary ISBN10,Primary ISBN13,Publisher,Description,Price,Title,Author,Contributor,Contributor Note,Book Image,Amazon Product URL,Age Group,Book Review Link,First Chapter Link,Sunday Review Link,Article Chapter Link
Manga,2011-06-04,2011-06-19,1,2,6,0,0,0759529701,9780759529700,Yen Press,"Isn’t being a kid hard enough? For this group, who are also part bird, nothing comes easy. In this volume: has the temporary safe haven dulled their edge? No worries, there are secrets even here.",12.99,"MAXIMUM RIDE, VOL. 4",James Patterson and NaRae Lee,by James Patterson and NaRae Lee,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9780759529700.jpg,http://www.amazon.com/Maximum-Ride-The-Manga-Vol/dp/0759529701?tag=thenewyorktim-20,,,,,,07595297019780759529700
Manga,2011-06-04,2011-06-19,2,3,5,0,0,1421535807,9781421535807,VIZ Media,Misao Harada can see into a magical realm where she is the bride demon of prophecy. How will she survive the pursuit of demons who want the power in her blood?,9.99,"BLACK BIRD, VOL. 8",Kanoko Sakurakoji,by Kanoko Sakurakoji,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9781421535807.jpg,http://www.amazon.com/Black-Bird-Vol-Kanoko-Sakurakouji-ebook/dp/B00F3HJPYM?tag=thenewyorktim-20,,,,,,14215358079781421535807
Manga,2011-06-04,2011-06-19,3,1,3,0,0,1935429566,9781935429562,Kodansha Comics,Will an invitation to a ball lead to Negi learning more truths or is it a trap?,10.99,"NEGIMA! MAGISTER NEGI MAGI, VOL. 29",Ken Akamatsu,by Ken Akamatsu,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9781935429562.jpg,http://www.amazon.com/Negima-29-Magister-Negi-Magi/dp/1935429566?tag=thenewyorktim-20,,,,,,19354295669781935429562
Manga,2011-06-04,2011-06-19,4,0,1,0,0,0316178268,9780316178266,Yen Press,"Kraft Lawrence, a young merchant finds himself with a companion: Holo, the Wolf-God of the harvest. In this volume: Lawrence’s dreams of wealth may result in ruin.",12.99,"SPICE AND WOLF, VOL. 4",Isuna Hasekura and Keito Koume,by Isuna Hasekura and Keito Koume,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9780316178266.jpg,http://www.amazon.com/Spice-Wolf-Vol-4-Manga/dp/0316178268?tag=thenewyorktim-20,,,,,,03161782689780316178266
Manga,2011-06-04,2011-06-19,5,4,6,0,0,0316084298,9780316084291,Yen Press,Sebastian is a loyal butler who moves easily from dinner parties to the underworld. Is he too good to be true? Is he even human? In this volume: a curry battle to the finish!,11.99,"BLACK BUTLER, VOL. 5",Yana Toboso,by Yana Toboso,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9780316084291.jpg,http://www.amazon.com/Black-Butler-Vol-Yana-Toboso/dp/0316084298?tag=thenewyorktim-20,,,,,,03160842989780316084291
Manga,2011-06-04,2011-06-19,6,7,9,0,0,1421540320,9781421540320,VIZ Media,Rin Okumura joins an exorcist academy in order to control his inner demon. Will his classmates find out about his satanic bloodline?,9.99,"BLUE EXORCIST, VOL. 1",Kazue Kato,by Kazue Kato,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9781421540320.jpg,http://www.amazon.com/Blue-Exorcist-Vol-Kazue-Kato/dp/1421540320?tag=thenewyorktim-20,,,,,,14215403209781421540320
Manga,2011-06-04,2011-06-19,7,0,29,0,0,0316080845,9780316080842,Yen Press,Sebastian is a loyal butler who moves easily from dinner parties to the underworld. Is he too good to be true? Is he even human?,10.99,"BLACK BUTLER, VOL. 1",Yana Toboso,by Yana Toboso,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9780316080842.jpg,http://www.amazon.com/Black-Butler-Vol-Yana-Toboso/dp/0316080845?tag=thenewyorktim-20,,,,,,03160808459780316080842
Manga,2011-06-04,2011-06-19,8,8,9,0,0,1421535440,9781421535449,VIZ Media,Life in a high school filled with werewolves and vampires continues.,9.99,"ROSARIO + VAMPIRE: SEASON II, VOL. 4",Akihisa Ikeda,by Akihisa Ikeda,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9781421535449.jpg,http://www.amazon.com/Rosario-Vampire-Season-II-Vol/dp/1421535440?tag=thenewyorktim-20,,,,,,14215354409781421535449
Manga,2011-06-04,2011-06-19,9,0,4,0,0,0316076120,9780316076128,Yen Press,"Oz, who is condemned to an abyss for a mysterious sin, sets out to investigate with an Alice, an equally mysterious girl he met in exile. In this volume: As Oz gets closer to the truth, will he unleash a greater danger?",11.99,"PANDORA HEARTS, VOL. 5",Jun Mochizuki,by Jun Mochizuki,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9780316076128.jpg,http://www.amazon.com/Pandora-Hearts-Vol-Jun-Mochizuki/dp/0316076120?tag=thenewyorktim-20,,,,,,03160761209780316076128
Manga,2011-06-04,2011-06-19,10,0,1,0,0,0316089583,9780316089586,Yen Press,"The SOS Brigade, a school club dedicated to meeting time travelers or aliens or anyone fantastic, faces off against the Computer Research Society. At stake: the fate of the city!",10.99,"THE MELANCHOLY OF SUZUMIYA HARUHI-CHAN, VOL. 2",Nagaru Tanigawa and Noizi Ito,by Nagaru Tanigawa and Noizi Ito,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9780316089586.jpg,http://www.amazon.com/The-Melancholy-Suzumiya-Haruhi-chan-Vol/dp/0316089583?tag=thenewyorktim-20,,,,,,03160895839780316089586
