List Name,Bestsellers Date,Published Date,Rank,Rank Last Week,Weeks on List,Asterisk,Dagger,Primary ISBN10,Primary ISBN13,Publisher,Description,Price,Title,Author,Contributor,Contributor Note,Book Image,Amazon Product URL,Age Group,Book Review Link,First Chapter Link,Sunday Review Link,Article Chapter Link
Manga,2009-10-10,2009-10-25,1,3,2,0,0,1421533049,9781421533049,VIZ Media,"Naruto’s friends are threatened, the mysteries of Pain deepen and Naruto must fight to protect his village.",9.99,NARUTO 46,Masashi Kishimoto,by Masashi Kishimoto,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9781421533049.jpg,http://www.amazon.com/Naruto-Vol-46-Returns/dp/1421533049?tag=thenewyorktim-20,,,,,,14215330499781421533049
Manga,2009-10-10,2009-10-25,2,0,1,0,0,142152354X,9781421523545,VIZ Media,Tsukune Aono’s new school is filled with vampires and werewolves. How is a human teenager to survive?,9.99,"ROSARIO   VAMPIRE, VOL. 9",Akihisa Ikeda,by Akihisa Ikeda,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9781421523545.jpg,http://www.amazon.com/Rosario-Vampire-Vol-Akihisa-Ikeda/dp/142152354X?tag=thenewyorktim-20,,,,,,
Manga,2009-10-10,2009-10-25,3,0,1,0,0,1427816255,9781427816252,TOKYOPOP,"Karin, a vampire who every month bleeds profusely from her nose, is kidnapped by a gang of vampires who want to use her blood for their own survival.",10.99,"CHIBI VAMPIRE, VOL. 14",Yuna Kagesaki,by Yuna Kagesaki,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9781427816252.jpg,http://www.amazon.com/Chibi-Vampire-Vol-Yuna-Kagesaki/dp/1427816255?tag=thenewyorktim-20,,,,,,
Manga,2009-10-10,2009-10-25,4,4,4,0,0,1421530341,9781421530345,VIZ Media,Two brothers harmed in a ritual that was half magic/half science seek the legendary Philosopher’s Stone to make things right. But others seek the weapon of alchemy for their own nefarious means.,9.99,"FULLMETAL ALCHEMIST, VOL. 20",Hiromu Arakawa,by Hiromu Arakawa,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9781421530345.jpg,http://www.amazon.com/Fullmetal-Alchemist-Vol-Hiromu-Arakawa/dp/1421530341?tag=thenewyorktim-20,,,,,,
Manga,2009-10-10,2009-10-25,5,0,1,0,0,0061340839,9780061340833,TOKYOPOP,"The romance between Raven, a goth girl, and Alexander, a vampire, continues to be plagued by Alexander’s cousin, Claude, who is half-human and half-vampire.",9.99,"VAMPIRE KISSES VOL. 3, BLOOD RELATIVES","Ellen Schreiber, Elisa Kwon and  Rem","by Ellen Schreiber, Elisa Kwon and  Rem",,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9780061340833.jpg,http://www.amazon.com/Blood-Relatives-Vampire-Kisses-Book/dp/0061340839?tag=thenewyorktim-20,,,,,,
Manga,2009-10-10,2009-10-25,6,0,1,0,0,1421527804,9781421527802,VIZ Media,"Kyoko Mogami followed her true love to Tokyo, but when stardom hit, she was sent packing. Now her goal is to show that two can play the show business game.",9.99,"SKIP BEAT!, VOL. 19",Yoshiki Nakamura,by Yoshiki Nakamura,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9781421527802.jpg,http://www.amazon.com/Skip-Beat-Vol-Yoshiki-Nakamura/dp/1421527804?tag=thenewyorktim-20,,,,,,
Manga,2009-10-10,2009-10-25,7,0,1,0,0,1421524309,9781421524306,VIZ Media,"Monkey D. Luffy, who has the power to stretch like rubber, searches with a motley crew of would-be pirates for a legendary treasure called ""One Piece.""",7.95,"ONE PIECE: HOPE, VOL. 22",Eiichiro Oda,by Eiichiro Oda,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9781421524306.jpg,http://www.amazon.com/One-Piece-Vol-22-Hope/dp/1421524309?tag=thenewyorktim-20,,,,,,
Manga,2009-10-10,2009-10-25,8,0,1,0,0,0345514300,9780345514301,VIZ Media,Amu has three guardians who are helping her discover her true self. Will they be able to decipher the mystery of bad boy Ikuto?,10.99,SHUGO CHARA! 7,Peach-Pit,by  Peach-Pit,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9780345514301.jpg,http://www.amazon.com/Shugo-Chara-7-Peach-Pit/dp/0345514300?tag=thenewyorktim-20,,,,,,
Manga,2009-10-10,2009-10-25,9,0,1,0,0,1421530376,9781421530376,VIZ Media,Azuma and Yuzuki meet in a hospital as they watch over their respective ailing grandparents. How will they survive when the last of their relatives are gone?,9.99,"WILD ONES, VOL. 8",Kiyo Fujiwara,by Kiyo Fujiwara,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9781421530376.jpg,http://www.amazon.com/Wild-Ones-Vol-Kiyo-Fujiwara/dp/1421530376?tag=thenewyorktim-20,,,,,,
Manga,2009-10-10,2009-10-25,10,8,3,0,0,0316073245,9780316073240,Yen Press,"This series follows Yotsuba, a young girl learning about the world. In this chapter, she recycles, gets a bike and discovers sticky notes.",10.99,"YOTSUBA&!, VOL. 6",Kiyohiko Azuma,by Kiyohiko Azuma,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9780316073240.jpg,http://www.amazon.com/Yotsuba-Vol-6-Kiyohiko-Azuma/dp/0316073245?tag=thenewyorktim-20,,,,,,
