List Name,Bestsellers Date,Published Date,Rank,Rank Last Week,Weeks on List,Asterisk,Dagger,Primary ISBN10,Primary ISBN13,Publisher,Description,Price,Title,Author,Contributor,Contributor Note,Book Image,Amazon Product URL,Age Group,Book Review Link,First Chapter Link,Sunday Review Link,Article Chapter Link
Manga,2013-12-14,2013-12-29,1,0,2,0,0,1421561433,9781421561431,VIZ Media,"Luffy, his crew and a new ally combine forces to defeat Caesar Clown.",0,"ONE PIECE, VOL. 69",Eiichiro Oda,by Eiichiro Oda,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9781421561431.jpg,http://www.amazon.com/One-Piece-Vol-Eiichiro-Oda/dp/1421561433?tag=thenewyorktim-20,,,,,
Manga,2013-12-14,2013-12-29,2,0,27,0,0,1612620248,9781612620244,Kodansha Comics,Is this the end of humanity? It sure looks that way when what is left of mankind must go into hiding to escape the giant humanoids known as the Titans.,0,"ATTACK ON TITAN, VOL. 1",Hajime Isayama,by Hajime Isayama,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9781612620244.jpg,http://www.amazon.com/Attack-Titan-1-Hajime-Isayama/dp/1612620248?tag=thenewyorktim-20,,,,,
Manga,2013-12-14,2013-12-29,3,0,3,0,0,1612625487,9781612625485,Kodansha Comics,Wall Rosé has been breached by the Titans leading Armin and Hange to double their efforts in discovering how the walls can be rebuilt.,0,"ATTACK ON TITAN, VOL. 9",Hajime Isayama,by Hajime Isayama,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9781612625485.jpg,http://www.amazon.com/Attack-Titan-9-Hajime-Isayama/dp/1612625487?tag=thenewyorktim-20,,,,,
Manga,2013-12-14,2013-12-29,4,0,16,0,0,1612620256,9781612620251,Kodansha Comics,"Mankind has gone into hiding to escape the giant humanoids known as the Titans. In this volume, the Titans attack, but one of them goes rogue.",0,"ATTACK ON TITAN, VOL. 2",Hajime Isayama,by Hajime Isayama,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9781612620251.jpg,http://www.amazon.com/Attack-Titan-2-Hajime-Isayama/dp/1612620256?tag=thenewyorktim-20,,,,,
Manga,2013-12-14,2013-12-29,5,0,2,0,0,1421553740,9781421553740,VIZ Media,This series is about a female shaman and an incubus who preys on women.,0,"DEMON LOVE SPELL, VOL. 5",Mayu Shinjo,by Mayu Shinjo,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9781421553740.jpg,http://www.amazon.com/Demon-Love-Spell-Vol-5/dp/1421553740?tag=thenewyorktim-20,,,,,
Manga,2013-12-14,2013-12-29,6,0,5,0,0,1421558882,9781421558882,VIZ Media,A new Turbo Duel hero named Yusei Fudo emerges from the outskirts of New Domino City and he will defeat any challenger thanks to his custom-built Duel Runner.,0,"YU-GI-OH 5D'S, VOL. 5",Masahiro Hikokubo and Masashi Sato,by Masahiro Hikokubo and Masashi Sato,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9781421558882.jpg,http://www.amazon.com/Yu-Gi-Oh-5Ds-Vol-Masahiro-Hikokubo/dp/1421558882?tag=thenewyorktim-20,,,,,
Manga,2013-12-14,2013-12-29,7,0,14,0,0,1612620264,9781612620268,Kodansha Comics,"Mankind has gone into hiding to escape the giant humanoids known as the Titans. In this volume, what happens when a human boy becomes a Titan?",0,"ATTACK ON TITAN, VOL. 3",Hajime Isayama,by Hajime Isayama,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9781612620268.jpg,http://www.amazon.com/Attack-Titan-3-Hajime-Isayama/dp/1612620264?tag=thenewyorktim-20,,,,,
Manga,2013-12-14,2013-12-29,8,0,3,0,0,1612620108,9781612620107,Kodansha Comics,"Sailor Moon fights for justice in the name of the Moon and the mysterious Moon Princess. This volume includes a homage to ""The Tale of the Bamboo Cutter,"" a Japanese folk tale.",0,"SAILOR MOON SHORT STORIES, VOL. 2",Naoko Takeuchi,by Naoko Takeuchi,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9781612620107.jpg,http://www.amazon.com/Sailor-Moon-Short-Stories-2/dp/1612620108?tag=thenewyorktim-20,,,,,
Manga,2013-12-14,2013-12-29,9,0,5,0,0,0759529736,9780759529731,Yen Press,Max and the Flock travel to Antarctica to help a group of environmental scientists studying the affects of global warming.,0,"MAXIMUM RIDE: THE MANGA, VOL. 7",James Patterson and NaRae Lee,by James Patterson and NaRae Lee,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9780759529731.jpg,http://www.amazon.com/Maximum-Ride-The-Manga-Vol/dp/0759529736?tag=thenewyorktim-20,,,,,
Manga,2013-12-14,2013-12-29,10,0,6,0,0,1421558858,9781421558851,VIZ Media,"In this latest volume, Naruto battles Tobi, who has brought the demonic Gedo statue to life.",0,"NARUTO, VOL. 63",Masashi Kishimoto,by Masashi Kishimoto,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9781421558851.jpg,http://www.amazon.com/Naruto-Vol-63-World-Dreams/dp/1421558858?tag=thenewyorktim-20,,,,,
