List Name,Bestsellers Date,Published Date,Rank,Rank Last Week,Weeks on List,Asterisk,Dagger,Primary ISBN10,Primary ISBN13,Publisher,Description,Price,Title,Author,Contributor,Contributor Note,Book Image,Amazon Product URL,Age Group,Book Review Link,First Chapter Link,Sunday Review Link,Article Chapter Link
Manga,2010-08-15,2010-08-29,1,2,2,0,0,1421531372,9781421531373,VIZ Media,"Tsukune Aono’s new school is filled with vampires and werewolves. And the girl he is interested seems to have eyes for him, but is it his blood she’s after?",9.99,"ROSARIO + VAMPIRE: SEASON II, VOL. 2",Akihisa Ikeda,by Akihisa Ikeda,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9781421531373.jpg,http://www.amazon.com/Rosario-Vampire-Season-II-Vol/dp/1421531372?tag=thenewyorktim-20,,,,,,14215313729781421531373
Manga,2010-08-15,2010-08-29,2,3,2,0,0,1421527685,9781421527680,VIZ Media,Misao Harada can see into a magical realm where she is the bride demon of prophecy. How will she survive the pursuit of demons who want the power in her blood?,9.99,"BLACK BIRD, VOL. 5",Kanoko Sakurakoji,by Kanoko Sakurakoji,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9781421527680.jpg,http://www.amazon.com/Black-Bird-Vol-Kanoko-Sakurakoji/dp/1421527685?tag=thenewyorktim-20,,,,,,14215276859781421527680
Manga,2010-08-15,2010-08-29,3,7,11,0,0,1421534746,9781421534749,VIZ Media,"The origins and true nature of Pain, Naruto’s arch nemesis, are revealed.",9.99,"NARUTO, VOL. 48",Masashi Kishimoto,by Masashi Kishimoto,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9781421534749.jpg,http://www.amazon.com/Naruto-Vol-48-Cheering-Village/dp/1421534746?tag=thenewyorktim-20,,,,,,14215347469781421534749
Manga,2010-08-15,2010-08-29,4,6,2,0,0,1421535130,9781421535135,VIZ Media,"This manga series is about Moritaka Mashiro, who enjoys drawing and Akito Takagi, a would-be writer, who team up to create a manga series. Will they survive the world of publishing?",9.99,"BAKUMAN, VOL. 1",Tsugumi Ohba and Takeshi Obata,by Tsugumi Ohba and Takeshi Obata,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9781421535135.jpg,http://www.amazon.com/Bakuman-Vol-1-Tsugumi-Ohba/dp/1421535130?tag=thenewyorktim-20,,,,,,14215351309781421535135
Manga,2010-08-15,2010-08-29,5,5,3,0,0,0345521595,9780345521590,Del Rey,"Can Negi win the tournament of champions against Jack Ravan, a martial arts legend?",10.99,"NEGIMA! MAGISTER NEGI MAGI, VOL. 27",Ken Akamatsu,by Ken Akamatsu,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9780345521590.jpg,http://www.amazon.com/Negima-Magister-Negi-Magi-Vol/dp/0345521595?tag=thenewyorktim-20,,,,,,03455215959780345521590
Manga,2010-08-15,2010-08-29,6,9,3,0,0,1421536307,9781421536309,VIZ Media,Two brothers harmed in a ritual that was half magic/half science seek the legendary Philosopher’s Stone to make things right.,9.99,"FULLMETAL ALCHEMIST, VOL. 23",Hiromu Arakawa,by Hiromu Arakawa,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9781421536309.jpg,http://www.amazon.com/Fullmetal-Alchemist-Vol-Hiromu-Arakawa/dp/1421536307?tag=thenewyorktim-20,,,,,,14215363079781421536309
Manga,2010-08-15,2010-08-29,7,8,2,0,0,1421535432,9781421535432,VIZ Media,"The protagonist: 15-year-old Allen Walker. The setting: 19th century England. His mission: to find Innocence, a substance used to create weapons to destroy the akuma demons.",9.99,"D. GRAY-MAN, VOL. 18",Katsura Hoshino,by Katsura Hoshino,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9781421535432.jpg,http://www.amazon.com/D-Gray-Man-Vol-Katsura-Hoshino/dp/1421535432?tag=thenewyorktim-20,,,,,,14215354329781421535432
Manga,2010-08-15,2010-08-29,8,10,2,0,0,1421532700,9781421532707,VIZ Media,"A woman’s work is never done: Can Kyoko balance revenge, a career and her own happiness?",9.99,"SKIP BEAT!, VOL. 21",Yoshiki Nakamura,by Yoshiki Nakamura,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9781421532707.jpg,http://www.amazon.com/Skip-Beat-Vol-Yoshiki-Nakamura/dp/1421532700?tag=thenewyorktim-20,,,,,,14215327009781421532707
Manga,2010-08-15,2010-08-29,9,0,10,0,0,1421535696,9781421535692,VIZ Media,The battle for Cross Academy continues as Headmaster Cross enters the fray.,9.99,"VAMPIRE KNIGHT, VOL. 10",Matsuri Hino,by Matsuri Hino,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9781421535692.jpg,http://www.amazon.com/Vampire-Knight-Vol-Matsuri-Hino/dp/1421535696?tag=thenewyorktim-20,,,,,,14215356969781421535692
Manga,2010-08-15,2010-08-29,10,0,11,0,0,0316084255,9780316084253,Yen Press,Sebastian is a loyal butler who moves easily from dinner parties to the underworld. Is he too good to be true? Is he even human?,10.99,"BLACK BUTLER, VOL. 2",Yana Toboso,by Yana Toboso,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9780316084253.jpg,http://www.amazon.com/Black-Butler-Vol-Yana-Toboso/dp/0316084255?tag=thenewyorktim-20,,,,,,03160842559780316084253
